execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-03T15:14:23.384714,130.29204192571342,,,True,,24.99954216182232,1.640707952901721,4,26.64025011472404,,75.0278749037534,3.6811670288443565,4,78.70904193259776,,24.942749878391623,4,24.942749878391623,q01,1,1.0
2,2026-02-03T15:14:23.437265,49.382459139451385,,,True,,11.64925005286932,3.2997920643538237,10,14.949042117223144,,19.58533306606114,3.685791976749897,10,23.271125042811036,,11.162291979417205,10,11.162291979417205,q03,3,1.0
3,2026-02-03T15:14:23.590710,150.09454148821533,,,True,,36.525166826322675,2.972582820802927,5,39.4977496471256,,95.9042499307543,2.4257919285446405,5,98.33004185929894,,12.266749981790781,5,12.266749981790781,q04,4,1.0
4,2026-02-03T15:14:23.653439,59.49879111722112,,,True,,14.192000031471252,1.8807498272508383,5,16.07274985872209,,25.906666181981564,4.280708031728864,5,30.187374213710427,,13.238667044788599,5,13.238667044788599,q05,5,1.0
5,2026-02-03T15:14:23.676262,19.596874015405774,,,True,,3.6955000832676888,1.102374866604805,1,4.797874949872494,,8.746332954615355,2.064540982246399,1,10.810873936861753,,3.988125128671527,1,3.988125128671527,q06,6,1.0
6,2026-02-03T15:14:23.742304,62.960040057078004,,,True,,14.414583100005984,2.677749842405319,4,17.092332942411304,,24.920250056311488,7.353916065767407,4,32.274166122078896,,13.593540992587805,4,13.593540992587805,q07,7,1.0
7,2026-02-03T15:14:23.814463,69.01825033128262,,,True,,20.415417151525617,2.350207883864641,2,22.765625035390258,,24.633917026221752,7.453167112544179,2,32.08708413876593,,14.165541157126427,2,14.165541157126427,q08,8,1.0
8,2026-02-03T15:14:23.949483,131.57233386300504,,,True,,32.79433399438858,1.850290922448039,175,34.64462491683662,,58.8491668459028,5.548916989937425,175,64.39808383584023,,32.5296251103282,175,32.5296251103282,q09,9,1.0
9,2026-02-03T15:14:24.054332,101.4933749102056,,,True,,27.358749881386757,3.7838330026715994,20,31.142582884058356,,39.108374854549766,4.889292176812887,20,43.99766703136265,,26.353124994784594,20,26.353124994784594,q10,10,1.0
10,2026-02-03T15:14:24.142322,84.8459992557764,,,True,,17.960875062271953,2.1744580008089542,2,20.135333063080907,,21.742083132267,4.07000002451241,2,25.81208315677941,,38.89858303591609,2,38.89858303591609,q12,12,1.0
11,2026-02-03T15:14:24.179989,34.519665874540806,,,True,,9.420624934136868,1.6537080518901348,1,11.074332986027002,,12.60704081505537,2.828208962455392,1,15.435249777510762,,8.010083111003041,1,8.010083111003041,q14,14,1.0
12,2026-02-03T15:14:24.327551,144.3090403918177,,,True,,39.63833302259445,3.701374866068363,57,43.339707888662815,,65.7310001552105,3.92466620542109,57,69.65566636063159,,31.31366614252329,57,31.31366614252329,q18,18,1.0
13,2026-02-03T15:14:24.409442,78.70099996216595,,,True,,18.34941701963544,2.753665903583169,1,21.103082923218608,,31.97987494058907,6.729291984811425,1,38.709166925400496,,18.88875011354685,1,18.88875011354685,q19,19,1.0
14,2026-02-03T15:14:24.537729,125.01654215157032,,,True,,24.861832847818732,1.5765000134706497,4,26.438332861289382,,71.18570897728205,3.9068751502782106,4,75.09258412756026,,23.48562516272068,4,23.48562516272068,q01,1,1.0
15,2026-02-03T15:14:24.590538,49.63954212144017,,,True,,11.957458918914199,3.636375069618225,10,15.593833988532424,,20.206208107993007,3.6230830010026693,10,23.829291108995676,,10.216417023912072,10,10.216417023912072,q03,3,1.0
16,2026-02-03T15:14:24.727961,134.2782073188573,,,True,,36.18316585198045,2.2549168206751347,5,38.43808267265558,,80.8642499614507,2.465082798153162,5,83.32933275960386,,12.510791886597872,5,12.510791886597872,q04,4,1.0
17,2026-02-03T15:14:24.787632,56.516248965635896,,,True,,14.457874931395054,2.4076669942587614,5,16.865541925653815,,22.78595813550055,4.078707890585065,5,26.864666026085615,,12.786041013896465,5,12.786041013896465,q05,5,1.0
18,2026-02-03T15:14:24.811123,20.28945810161531,,,True,,3.4144159872084856,1.0833749547600746,1,4.49779094196856,,10.253083193674684,2.1330839954316616,1,12.386167189106345,,3.4054999705404043,1,3.4054999705404043,q06,6,1.0
19,2026-02-03T15:14:24.876395,62.12304322980344,,,True,,14.751042006537318,2.592042088508606,4,17.343084095045924,,24.293625028803945,7.563791936263442,4,31.857416965067387,,12.922542169690132,4,12.922542169690132,q07,7,1.0
20,2026-02-03T15:14:24.941112,61.539584305137396,,,True,,13.660833006724715,2.382709179073572,2,16.043542185798287,,25.167834013700485,7.1544169913977385,2,32.322251005098224,,13.173791114240885,2,13.173791114240885,q08,8,1.0
21,2026-02-03T15:14:25.075304,130.7904999703169,,,True,,32.554833916947246,1.8510830122977495,175,34.405916929244995,,59.35029196552932,5.5619580671191216,175,64.91225003264844,,31.472333008423448,175,31.472333008423448,q09,9,1.0
22,2026-02-03T15:14:25.181970,103.41104306280613,,,True,,27.988916961476207,3.8361249025911093,20,31.825041864067316,,40.06291716359556,4.437834024429321,20,44.50075118802488,,27.085250010713935,20,27.085250010713935,q10,10,1.0
23,2026-02-03T15:14:25.235712,50.567083759233356,,,True,,11.062124976888299,1.8927499186247587,2,12.954874895513058,,21.323416847735643,4.656709032133222,2,25.980125879868865,,11.632082983851433,2,11.632082983851433,q12,12,1.0
