execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,row_count,run_num,table_width
1,2026-02-15T01:41:25.988735,5.01200114376843,,,True,0.4461670760065317,1.0029159020632505,1,1.4490829780697823,0.5687500815838575,True,,3.1331658829003572,1,3.701915964484215,0.30579185113310814,1,0.30579185113310814,1.8893750384449959,,3.6912921350449324,1.8019170965999365,True,,1.3787909410893917,1,3.6912921350449324,3.6912921350449324,1,WIDE_AGG,10000,0,16
2,2026-02-15T01:41:26.014797,4.252458922564983,,,True,0.46200002543628216,0.9735000785440207,1,1.4355001039803028,0.6004171445965767,True,,3.1544999219477177,1,3.7549170665442944,0.28074998408555984,1,0.28074998408555984,1.2579169124364853,,2.9092917684465647,1.6513748560100794,True,,1.4209169894456863,1,2.9092917684465647,2.9092917684465647,1,WIDE_AGG,10000,1,16
3,2026-02-15T01:41:26.041236,4.35774982906878,,,True,0.37929206155240536,0.7510420400649309,1,1.1303341016173363,0.5071249324828386,True,,3.06554208509624,1,3.5726670175790787,0.27199997566640377,1,0.27199997566640377,1.473790965974331,,3.199332859367132,1.7255418933928013,True,,1.3412919361144304,1,3.199332859367132,3.199332859367132,1,WIDE_AGG,10000,2,16
4,2026-02-15T01:41:26.099398,5.476665683090687,,,True,0.8848749566823244,1.3297500554472208,1,2.214625012129545,0.8789999410510063,True,,4.923040978610516,1,5.802040919661522,0.40962500497698784,1,0.40962500497698784,1.3669999316334724,,3.3031657803803682,1.9361658487468958,True,,2.00345809571445,1,3.3031657803803682,3.3031657803803682,1,WIDE_AGG,10000,0,32
5,2026-02-15T01:41:26.131546,5.428917007520795,,,True,0.6478340364992619,1.5246248804032803,1,2.172458916902542,1.090165926143527,True,,5.1358339842408895,1,6.225999910384417,0.4037921316921711,1,0.4037921316921711,1.413583057001233,,3.287124913185835,1.8735418561846018,True,,2.0029160659760237,1,3.287124913185835,3.287124913185835,1,WIDE_AGG,10000,1,32
6,2026-02-15T01:41:26.161900,5.5234169121831656,,,True,0.6306669674813747,1.2316671200096607,1,1.8623340874910355,1.2350420001894236,True,,4.869375145062804,1,6.104417145252228,0.3832499496638775,1,0.3832499496638775,1.4929159078747034,,3.2744579948484898,1.7815420869737864,True,,1.9798330031335354,1,3.2744579948484898,3.2744579948484898,1,WIDE_AGG,10000,2,32
