execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:35:51.438907,132.82274990342557,,,True,,20,54.74879196844995,,20,78.07395793497562,1,q10,10,1,1.0
2,2026-02-02T02:35:51.580137,131.1801669653505,,,True,,20,54.61341701447964,,20,76.56674995087087,1,q10,10,2,1.0
3,2026-02-02T02:35:51.721613,131.6642090678215,,,True,,20,54.86645898781717,,20,76.79775008000433,1,q10,10,3,1.0
4,2026-02-02T02:35:51.860879,129.47283289395273,,,True,,20,53.91441588290036,,20,75.55841701105237,1,q10,10,4,1.0
5,2026-02-02T02:35:52.003768,132.8044170513749,,,True,,20,54.26295893266797,,20,78.54145811870694,1,q10,10,5,1.0
6,2026-02-02T02:35:52.265746,144.3876246921718,,,True,,20,56.69208290055394,,20,87.69554179161787,10,q10,10,1,1.0
7,2026-02-02T02:35:52.493979,138.70687503367662,,,True,,20,54.556624963879585,,20,84.15025006979704,10,q10,10,2,1.0
8,2026-02-02T02:35:52.723633,139.53662477433681,,,True,,20,56.039666989818215,,20,83.4969577845186,10,q10,10,3,1.0
9,2026-02-02T02:35:52.952062,139.3094582017511,,,True,,20,55.234208004549146,,20,84.07525019720197,10,q10,10,4,1.0
10,2026-02-02T02:35:53.182529,139.7502908948809,,,True,,20,54.77283289656043,,20,84.97745799832046,10,q10,10,5,1.0
11,2026-02-02T02:35:54.283094,210.8572917059064,,,True,,20,53.96333383396268,,20,156.8939578719437,100,q10,10,1,1.0
12,2026-02-02T02:35:55.416589,211.4091250114143,,,True,,20,55.63912494108081,,20,155.77000007033348,100,q10,10,2,1.0
13,2026-02-02T02:35:56.533936,229.00149994529784,,,True,,20,54.56824996508658,,20,174.43324998021126,100,q10,10,3,1.0
14,2026-02-02T02:35:57.660404,214.10104096867144,,,True,,20,55.93458306975663,,20,158.1664578989148,100,q10,10,4,1.0
15,2026-02-02T02:35:58.775606,229.64916680939496,,,True,,20,55.431666783988476,,20,174.21750002540648,100,q10,10,5,1.0
16,2026-02-02T02:36:08.788862,1088.1472502369434,,,True,,20,54.83600008301437,,20,1033.311250153929,1000,q10,10,1,1.0
17,2026-02-02T02:36:18.828532,1139.8740829899907,,,True,,20,54.77275000885129,,20,1085.1013329811394,1000,q10,10,2,1.0
18,2026-02-02T02:36:28.968159,1198.56599974446,,,True,,20,55.77129195444286,,20,1142.7947077900171,1000,q10,10,3,1.0
19,2026-02-02T02:36:38.999878,1156.3095832243562,,,True,,20,54.64858305640519,,20,1101.661000167951,1000,q10,10,4,1.0
20,2026-02-02T02:36:48.976405,1155.769000062719,,,True,,20,53.87437506578863,,20,1101.8946249969304,1000,q10,10,5,1.0
