execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
1,2026-02-14T18:44:37.084244,28541.39845794998,,,True,,447.3380830604583,3.911790903657675,4,451.249873964116,,1447.8221249300987,9.002374950796366,4,1456.824499880895,,437.52320809289813,4,437.52320809289813,1672.2375839017332,,24523.56329211034,4.697166150435805,4,26195.800876012072,26195.800876012072,q01,1,10.0
2,2026-02-14T18:44:38.958867,1780.0769170280546,,,True,,333.9042079169303,11.938208946958184,10,345.8424168638885,,251.16483308374882,12.431458104401827,10,263.59629118815064,,608.7564169429243,10,608.7564169429243,498.1173749547452,,63.764417078346014,8.667791960760951,10,561.8817920330912,561.8817920330912,q03,3,10.0
3,2026-02-14T18:44:41.967799,3001.12362485379,,,True,,730.9415000490844,6.936916848644614,5,737.878416897729,,1861.2454999238253,5.922666983678937,5,1867.1681669075042,,396.07704104855657,5,396.07704104855657,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
4,2026-02-14T18:44:43.637336,1605.7727916631848,,,True,,278.4029170870781,5.053333938121796,5,283.4562510251999,,502.08624987863004,11.161916889250278,5,513.2481667678803,,305.71466591209173,5,305.71466591209173,374.839749885723,,128.51395807228982,5.927749909460545,5,503.3537079580128,503.3537079580128,q05,5,10.0
5,2026-02-14T18:44:44.406778,707.9023330006748,,,True,,80.1567081362009,2.836250001564622,1,82.99295813776553,,168.68029185570776,5.611875094473362,1,174.29216695018113,,73.88991699554026,1,73.88991699554026,92.93029108084738,,283.79699983634055,3.8394590374082327,1,376.72729091718793,376.72729091718793,q06,6,10.0
6,2026-02-14T18:44:51.973789,7521.744873607531,,,True,,250.78170793130994,13.06500006467104,4,263.846707995981,,6437.494957819581,17.18583283945918,4,6454.68079065904,,228.22637506760657,4,228.22637506760657,349.15558295324445,,225.83541693165898,9.183458052575588,4,574.9909998849034,574.9909998849034,q07,7,10.0
7,2026-02-14T18:44:54.377292,2343.5382086317986,,,True,,396.6848747804761,6.730624940246344,2,403.41549972072244,,832.3442498221993,20.067542092874646,2,852.411791915074,,587.8059999085963,2,587.8059999085963,375.50437496975064,,124.40054211765528,8.189290994778275,2,499.9049170874059,499.9049170874059,q08,8,10.0
8,2026-02-14T18:53:43.430956,528934.0473350603,,,True,,866.7314590420574,3.8381251506507397,175,870.5695841927081,,524516.1768749822,9.415084030479193,175,524525.5919590127,,911.352917086333,175,911.352917086333,2090.354749932885,,536.1781248357147,11.403208831325173,175,2626.5328747686,2626.5328747686,q09,9,10.0
9,2026-02-14T18:53:45.890073,2340.2257496491075,,,True,,378.3958749845624,10.633375030010939,20,389.02925001457334,,492.64187505468726,14.374999795109034,20,507.0168748497963,,619.6655828971416,20,619.6655828971416,781.4945839345455,,43.01945795305073,4.663500003516674,20,824.5140418875962,824.5140418875962,q10,10,10.0
10,2026-02-14T18:53:47.772282,1810.2052498143166,,,True,,155.80924996174872,4.755208035930991,2,160.5644579976797,,339.9256248958409,7.429083110764623,2,347.3547080066055,,415.36458395421505,2,415.36458395421505,750.6875828839839,,136.2339169718325,4.385165870189667,2,886.9214998558164,886.9214998558164,q12,12,10.0
