execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms
11,2026-02-09T20:02:41.004488,84.09933419898152,,,True,,14.072917168959975,2.672625007107854,1,16.74554217606783,,23.368333000689745,2.9213749803602695,1,26.289707981050014,,31.75954194739461,1,31.75954194739461,q14,14,1.0,,True,,True,,1,3.6277081817388535,,,True,,1,6.0362499207258224,1,9.30454209446907,,True,,True,,1,317.2652078792453,,,True,,1,674.132291926071,1,417.3109580297023,,True,,True,,1,412.4125000089407,,,True,,1,788.9994590077549,1,407.7469161711633
12,2026-02-09T20:02:41.500455,389.4059171434492,,,True,,53.41212498024106,3.896958194673062,57,57.30908317491412,,145.44899994507432,4.48412518016994,57,149.93312512524426,,105.18783400766551,57,105.18783400766551,q18,18,1.0,,True,,True,,57,62.80658394098282,,,True,,57,32.05033391714096,57,76.97587483562529,,True,,True,,57,7913.733834167942,,,True,,57,12246.808500029148,57,7438.312875106931,,True,,True,,57,955.8552911039442,,,True,,57,2106.2702911440283,57,1005.2542500197889
13,2026-02-09T20:02:41.657155,120.93333434313536,,,True,,25.62995906919241,3.62987513653934,1,29.25983420573175,,39.80645793490112,6.45779212936759,1,46.26425006426871,,32.86195802502334,1,32.86195802502334,q19,19,1.0,,True,,True,,1,4.405291983857751,,,True,,1,13.206874951720238,1,12.547292048111558,,True,,True,,1,484.5209999475628,,,True,,1,919.39516691491,1,523.8874170463532,,True,,True,,1,448.2059171423316,,,True,,1,885.5725000612438,1,467.54445787519217
14,2026-02-09T20:02:42.043781,294.2988337017596,,,True,,50.981291802600026,2.2199158556759357,4,53.20120765827596,,118.71208390221,3.820582991465926,4,122.53266689367592,,52.02595912851393,4,52.02595912851393,q01,1,1.0,,True,,True,,4,40.92566599138081,,,True,,4,40.34187505021691,4,66.53900002129376,,True,,True,,4,1617.000374943018,,,True,,4,5919.331083074212,4,1382.104917196557,,True,,True,,4,541.7122091166675,,,True,,4,1201.83658413589,4,504.227832891047
15,2026-02-09T20:02:42.171411,94.35670706443489,,,True,,21.402291022241116,3.822791157290339,10,25.225082179531455,,27.963665779680017,3.793417010456323,10,31.757082790136337,,24.00354202836752,10,24.00354202836752,q03,3,1.0,,True,,True,,10,7.994333049282432,,,True,,10,9.769167052581906,10,13.371000066399574,,True,,True,,10,349.43524980917573,,,True,,10,732.1650839876384,10,760.4674170725048,,True,,True,,10,538.6073330882937,,,True,,10,955.2505840547384,10,456.1859159730375
16,2026-02-09T20:02:42.657088,202.9110009316355,,,True,,44.83854188583791,2.362083876505494,5,47.20062576234341,,108.0288749653846,2.423292025923729,5,110.45216699130832,,19.58312513306737,5,19.58312513306737,q04,4,1.0,,True,,True,,5,9.8516249563545,,,True,,5,262.79416610486805,5,25.67508304491639,,True,,True,,5,2757.823291933164,,,True,,5,5587.00850000605,5,553.8164169993252,,True,,True,,5,500.4101658705622,,,True,,5,1097.6900421082971,5,466.2430409807712
17,2026-02-09T20:02:42.812143,112.26375098340212,,,True,,24.668709142133594,2.0252501126378775,5,26.69395925477147,,42.05941688269377,4.49933297932148,5,46.55874986201525,,30.522041954100132,5,30.522041954100132,q05,5,1.0,,True,,True,,5,7.534457836300135,,,True,,5,10.980375111103058,5,8.488999912515283,,True,,True,,5,301.54799995943904,,,True,,5,550.9587919805199,5,440.14758290722966,,True,,True,,5,580.2400829270482,,,True,,5,1924.600875005126,5,584.8218749742955
18,2026-02-09T20:02:42.860419,33.23862445540726,,,True,,6.255875108763576,1.0933331213891506,1,7.349208230152726,,13.695541070774198,2.697500167414546,1,16.393041238188744,,6.237207911908627,1,6.237207911908627,q06,6,1.0,,True,,True,,1,1.8690000288188455,,,True,,1,2.945417072623968,1,3.2591670751571655,,True,,True,,1,235.21137493662536,,,True,,1,830.1723329350352,1,237.20770794898272,,True,,True,,1,436.6411669179797,,,True,,1,817.5145001150668,1,441.8610420543701
19,2026-02-09T20:02:43.267365,366.9494581408798,,,True,,51.4695409219712,4.067834001034498,4,55.5373749230057,,230.2420421037823,7.6773331966251135,4,237.9193753004074,,50.57883285917342,4,50.57883285917342,q07,7,1.0,,True,,True,,4,9.830416878685355,,,True,,4,20.419165957719088,4,22.913875058293343,,True,,True,,4,447.7048749104142,,,True,,4,745.6896670628339,4,536.4490828942508,,True,,True,,4,698.2503749895841,,,True,,4,1772.3680830094963,4,678.7525829859078
20,2026-02-09T20:02:43.501896,151.63837606087327,,,True,,18.96687503904104,2.4505420587956905,2,21.417417097836733,,70.46408299356699,7.858833996579051,2,78.32291699014604,,18.71225005015731,2,18.71225005015731,q08,8,1.0,,True,,True,,2,33.31175004132092,,,True,,2,39.16737507097423,2,33.18579192273319,,True,,True,,2,424.6043751481921,,,True,,2,822.1006670501083,2,576.3010000810027,,True,,True,,2,593.8330828212202,,,True,,2,1153.2285828143358,2,554.9463329371065
