execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-13T23:39:41.446781,700.3504156600684,,,True,,238.74837486073375,0.7304579485207796,999999,239.47883280925453,,216.8502500280738,0.6787918973714113,999999,217.5290419254452,,243.34254092536867,1000000,243.34254092536867,0.0,skipped_for_select,0.0,0.0,0,0.0,0.0,1,SELECT,0,1,0,,1,,1,100,policy_threshold
2,2026-02-13T23:40:41.005940,58642.79845892452,,"physical=Row count mismatch: dfc=999950, logical=0",False,,204.90758283995092,0.7602078840136528,999950,205.66779072396457,,205.23558394052088,0.6894590333104134,999950,205.9250429738313,,205.35920816473663,999950,205.35920816473663,58002.886542119086,,22.95987494289875,2.247957978397608,0,58025.846417061985,58025.846417061985,1,WHERE,0,1,0,,1,,1,100,policy_threshold
3,2026-02-13T23:40:41.213763,62.03629192896187,,"physical=Row count mismatch: dfc=900, logical=0",False,,1.67554197832942,0.8959169499576092,900,2.5714589282870293,,0.4770001396536827,0.9518750011920929,900,1.4288751408457756,,0.49799983389675617,1000,0.49799983389675617,56.56720791012049,,0.9707501158118248,1.1778341140598059,0,57.53795802593231,57.53795802593231,1,JOIN,0,1,0,1000,1,,,,join_matches
4,2026-02-13T23:41:20.490557,109.75570790469646,,,True,,5.512374918907881,2.0064159762114286,10,7.518790895119309,,11.193749960511923,1.762458821758628,10,12.95620878227055,,5.473000230267644,10,5.473000230267644,20.27583308517933,,63.53187491185963,1.2202081270515919,10,83.80770799703896,83.80770799703896,1,GROUP_BY,0,1,0,,1,10,,,num_groups
5,2026-02-13T23:42:21.388880,60014.270250918344,,"physical=Row count mismatch: dfc=999999, logical=0",False,,249.80279081501067,0.6950830575078726,999999,250.49787387251854,,256.04983419179916,0.7522499654442072,999999,256.80208415724337,,346.4807919226587,1000000,346.4807919226587,59159.335291944444,,1.1542090214788914,2.5650830939412117,0,59160.48950096592,59160.48950096592,1,ORDER_BY,0,1,0,,1,,1,100,policy_threshold
