execution_number,timestamp,duration_ms,error,dfc_1phase_a_count,dfc_1phase_b_count,dfc_1phase_c_count,dfc_1phase_exec_time_ms,dfc_1phase_matches_expected,dfc_1phase_rewrite_time_ms,dfc_1phase_time_ms,expected_invalid_updates,expected_valid_updates,no_policy_a_count,no_policy_b_count,no_policy_c_count,no_policy_matches_expected,no_policy_time_ms,num_rows,num_updates,valid_ratio
1,2026-02-28T19:30:08.972232,2320.1146805658937,,750,100,150,394.52252723276615,True,1739.0473205596209,2133.569847792387,300,700,748,139,113,True,186.54483277350664,1000,1000,0.7
2,2026-02-28T19:30:11.230366,2256.6761658526957,,750,100,150,363.60566318035126,True,1710.6468356214464,2074.2524988017976,300,700,748,139,113,True,182.42366705089808,1000,1000,0.7
3,2026-02-28T19:30:13.500973,2269.1165562719107,,750,100,150,366.2599534727633,True,1714.7476854734123,2081.0076389461756,300,700,748,139,113,True,188.1089173257351,1000,1000,0.7
4,2026-02-28T19:30:15.724474,2221.9965062104166,,750,100,150,358.8199536316097,True,1677.674219943583,2036.4941735751927,300,700,748,139,113,True,185.50233263522387,1000,1000,0.7
5,2026-02-28T19:30:17.967625,2241.7323063127697,,750,100,150,357.0214109495282,True,1699.28331207484,2056.3047230243683,300,700,748,139,113,True,185.42758328840137,1000,1000,0.7
