execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T22:05:17.102956,171.53504095040262,,,True,,57,49.45995798334479,,57,122.07508296705782,1,q18,18,1,1.0
2,2026-02-02T22:05:17.285714,172.50850005075336,,,True,,57,49.398374976590276,,57,123.11012507416308,1,q18,18,2,1.0
3,2026-02-02T22:05:17.472444,177.00595781207085,,,True,,57,51.44874984398484,,57,125.557207968086,1,q18,18,3,1.0
4,2026-02-02T22:05:17.653996,171.55154095962644,,,True,,57,46.41533293761313,,57,125.1362080220133,1,q18,18,4,1.0
5,2026-02-02T22:05:17.837289,173.7084579654038,,,True,,57,49.03287487104535,,57,124.67558309435844,1,q18,18,5,1.0
6,2026-02-02T22:05:18.116267,190.8209181856364,,,True,,57,48.78208413720131,,57,142.0388340484351,10,q18,18,1,1.0
7,2026-02-02T22:05:18.392298,187.2087090741843,,,True,,57,47.19354212284088,,57,140.01516695134342,10,q18,18,2,1.0
8,2026-02-02T22:05:18.674592,193.52258299477398,,,True,,57,49.7471250128001,,57,143.7754579819739,10,q18,18,3,1.0
9,2026-02-02T22:05:18.950555,186.5295828320086,,,True,,57,47.56408277899027,,57,138.96550005301833,10,q18,18,4,1.0
10,2026-02-02T22:05:19.226057,186.4140830002725,,,True,,57,49.71304093487561,,57,136.7010420653969,10,q18,18,5,1.0
11,2026-02-02T22:05:20.406360,319.8985420167446,,,True,,57,47.80912515707314,,57,272.0894168596715,100,q18,18,1,1.0
12,2026-02-02T22:05:21.721706,410.76979204081,,,True,,57,47.21749993041158,,57,363.5522921103984,100,q18,18,2,1.0
13,2026-02-02T22:05:22.930804,351.6034169588238,,,True,,57,54.47195889428258,,57,297.1314580645412,100,q18,18,3,1.0
14,2026-02-02T22:05:24.123513,341.4600419346243,,,True,,57,52.046458004042506,,57,289.4135839305818,100,q18,18,4,1.0
15,2026-02-02T22:05:25.321871,338.76741700805724,,,True,,57,50.75783305801451,,57,288.0095839500427,100,q18,18,5,1.0
16,2026-02-02T22:05:36.115976,2009.9085420370102,,,True,,57,50.224042031913996,,57,1959.6845000050962,1000,q18,18,1,1.0
17,2026-02-02T22:05:46.803304,2051.5675828792155,,,True,,57,48.41020796447992,,57,2003.1573749147356,1000,q18,18,2,1.0
18,2026-02-02T22:05:57.624299,2076.6322498675436,,,True,,57,49.396750051528215,,57,2027.2354998160154,1000,q18,18,3,1.0
19,2026-02-02T22:06:08.734875,2124.757417012006,,,True,,57,52.11804201826453,,57,2072.6393749937415,1000,q18,18,4,1.0
20,2026-02-02T22:06:19.795067,2084.283833159134,,,True,,57,85.53429110907018,,57,1998.7495420500636,1000,q18,18,5,1.0
