execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
11,2026-02-14T20:40:33.865451,1466.0876267589629,,,True,,True,,True,,1,273.7884579692036,,,True,,1,519.6021250449121,1,344.06583406962454,,14.9835420306772,2.086042193695903,1,17.069584224373102,,20.534166833385825,3.2807078678160906,1,23.814874701201916,,25.404874933883548,1,25.404874933883548,,True,,True,,1,154.60225008428097,,,True,,1,298.0334160383791,1,170.35937495529652,q14,14,,True,,True,,1,918.0105410050601,,,True,,1,1637.6012498512864,1,855.3195418789983,1.0,,True,,True,,1,5.691583035513759,,,True,,1,8.300666930153966,1,30.053541995584965
12,2026-02-14T20:41:04.473577,9396.17320918478,,,True,,True,,True,,57,2048.4023748431355,,,True,,57,2889.5454169251025,57,2569.090334000066,,50.46337493695319,5.267000058665872,57,55.73037499561906,,85.77058301307261,4.051125142723322,57,89.82170815579593,,54.04066597111523,57,54.04066597111523,,True,,True,,57,4744.457707973197,,,True,,57,7012.0596250053495,57,4752.365916967392,q18,18,,True,,True,,57,1427.774874959141,,,True,,57,2950.264750048518,57,1764.7493341937661,1.0,,True,,True,,57,84.00937495753169,,,True,,57,34.326500026509166,57,110.37487490102649
13,2026-02-14T20:41:13.313036,2615.7013750635087,,,True,,True,,True,,1,306.8235828541219,,,True,,1,599.0018749143928,1,364.61408296599984,,25.96737490966916,4.216625122353435,1,30.184000032022595,,46.49616708047688,7.465499918907881,1,53.96166699938476,,39.91979197598994,1,39.91979197598994,,True,,True,,1,219.64191598817706,,,True,,1,433.1499580293894,1,542.1837919857353,q19,19,,True,,True,,1,1536.351582966745,,,True,,1,3099.939834093675,1,1545.5185831524432,1.0,,True,,True,,1,6.322582950815558,,,True,,1,8.330625016242266,1,39.319457951933146
14,2026-02-14T20:41:59.271812,10328.609252115712,,,True,,True,,True,,4,383.3792922087014,,,True,,4,956.973958062008,4,532.0252501405776,,31.13104193471372,2.7285839896649122,4,33.85962592437863,,91.87045809812844,4.141374956816435,4,96.01183305494487,,43.67466690018773,4,43.67466690018773,,True,,True,,4,809.1756249777973,,,True,,4,3583.402124932036,4,744.9876670725644,q01,1,,True,,True,,4,9404.889417113736,,,True,,4,20404.860500013456,4,8820.79879194498,1.0,,True,,True,,4,31.72175004146993,,,True,,4,40.60225002467632,4,57.25141707807779
15,2026-02-14T20:42:08.150241,3587.167792953551,,,True,,True,,True,,10,1002.1858341060579,,,True,,10,1714.1217079479247,10,1080.9150419663638,,23.861916968598962,4.836959065869451,10,28.698876034468412,,22.97333301976323,4.198624985292554,10,27.171958005055785,,49.894042080268264,10,49.894042080268264,,True,,True,,10,219.58741592243314,,,True,,10,425.87674991227686,10,681.3627909868956,q03,3,,True,,True,,10,654.9599170684814,,,True,,10,1215.872708009556,10,1646.6287919320166,1.0,,True,,True,,10,20.90866700746119,,,True,,10,18.875834066420794,10,72.4962919484824
16,2026-02-14T20:42:31.256622,3001.328373560682,,,True,,True,,True,,5,783.9366248808801,,,True,,5,1401.927333790809,5,889.4874169491231,,50.57904194109142,4.087915876880288,5,54.666957817971706,,146.3001670781523,3.2396658789366484,5,149.53983295708895,,47.4560409784317,5,47.4560409784317,,True,,True,,5,2085.447791032493,,,True,,5,3498.8338339608163,5,678.2691669650376,q04,4,,True,,True,,5,1291.4508329704404,,,True,,5,10661.659249803051,5,1145.3951250296086,1.0,,True,,True,,5,11.027124943211675,,,True,,5,338.9424169436097,5,36.51383286342025
17,2026-02-14T20:42:41.841981,2645.469624781981,,,True,,True,,True,,5,951.6923748888075,,,True,,5,3913.0110419355333,5,1091.485041892156,,21.23129111714661,2.9723329935222864,5,24.203624110668898,,32.91900013573468,5.40529191493988,5,38.32429205067456,,35.94454191625118,5,35.94454191625118,,True,,True,,5,171.8683340586722,,,True,,5,309.96133387088776,5,636.5720420144498,q05,5,,True,,True,,5,1285.6297080870718,,,True,,5,1246.5273749548942,5,767.0942079275846,1.0,,True,,True,,5,17.36312499269843,,,True,,5,26.869833003729582,5,51.845874870195985
18,2026-02-14T20:42:46.842000,1686.2220407929271,,,True,,True,,True,,1,258.84141703136265,,,True,,1,490.71400007233024,1,413.7127499561757,,5.822582868859172,2.1855419036000967,1,8.008124772459269,,11.739958077669144,3.5382499918341637,1,15.278208069503307,,13.840541010722518,1,13.840541010722518,,True,,True,,1,152.90641621686518,,,True,,1,294.98104099184275,1,502.15412490069866,q06,6,,True,,True,,1,708.0211250577122,,,True,,1,1382.398041896522,1,687.0312090031803,1.0,,True,,True,,1,3.473791992291808,,,True,,1,7.571000140160322,1,46.19708308018744
19,2026-02-14T20:42:54.103260,2121.4665400329977,,,True,,True,,True,,4,476.0647499933839,,,True,,4,1601.223458070308,4,606.1967499554157,,22.724834037944674,12.243208009749651,4,34.968042047694325,,308.4657920990139,11.475957930088043,4,319.94175002910197,,28.86879094876349,4,28.86879094876349,,True,,True,,4,286.9620840065181,,,True,,4,451.2982498854399,4,461.4530000835657,q07,7,,True,,True,,4,1040.3567501343787,,,True,,4,1219.4957088213414,4,620.6925411242992,1.0,,True,,True,,4,12.446000007912517,,,True,,4,41.30933294072747,4,49.34566584415734
20,2026-02-14T20:43:00.095522,1927.8770829550922,,,True,,True,,True,,2,394.9584581423551,,,True,,2,779.2891659773886,2,406.7808750551194,,20.874249981716275,3.565249964594841,2,24.439499946311116,,61.888166004791856,8.040624903514981,2,69.92879090830684,,34.26212491467595,2,34.26212491467595,,True,,True,,2,214.82675010338426,,,True,,2,431.99958303011954,2,672.194000100717,q08,8,,True,,True,,2,839.2411249224097,,,True,,2,1324.0403330419213,2,654.3538749683648,1.0,,True,,True,,2,24.691374972462654,,,True,,2,39.73049996420741,2,65.91791706159711
21,2026-02-14T20:43:55.868537,28001.05129322037,,,True,,True,,True,,175,440.1635420508683,,,True,,175,16723.579874960706,175,1288.2803331594914,,59.581249952316284,1.9459170289337635,175,61.52716698125005,,21559.9771249108,6.502750096842647,175,21566.479875007644,,88.83208385668695,175,88.83208385668695,,True,,True,,175,558.0587920267135,,,True,,175,6898.019999964163,175,3746.1832091212273,q09,9,,True,,True,,175,1029.2674170341343,,,True,,175,1987.8397500142455,175,1000.4815000575036,1.0,,True,,True,,175,32.53637510351837,,,True,,175,73.20500002242625,175,249.26712503656745
