execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-14T21:37:32.742789,6.216208916157484,,,True,,0.7237920071929693,1.1472920887172222,5,1.8710840959101915,module 'sqlglot.expressions' has no attribute 'On',0.0,0.0,0,0.0,,1.1325408704578876,5,1.1325408704578876,2.017916878685355,,1.1946670711040497,1.53916678391397,5,3.212583949789405,3.212583949789405,1,JOIN_GROUP_BY,0,1,0,1,,1,,,,join_count
2,2026-02-14T21:37:32.913937,90.1153760496527,,,True,,28.197749983519316,2.7803750708699226,5,30.97812505438924,module 'sqlglot.expressions' has no attribute 'On',0.0,0.0,0,0.0,,28.32733397372067,5,28.32733397372067,29.800750082358718,,1.0091669391840696,5.023749778047204,5,30.809917021542788,30.809917021542788,1,JOIN_GROUP_BY,0,1,1,10,,2,,,,join_count
3,2026-02-14T21:37:42.638373,9476.850792532787,,,True,,3150.9612081572413,29.046125011518598,5,3180.00733316876,module 'sqlglot.expressions' has no attribute 'On',0.0,0.0,0,0.0,,3137.9181251395494,5,3137.9181251395494,3157.39658405073,,1.5287501737475395,38.65425009280443,5,3158.9253342244774,3158.9253342244774,1,JOIN_GROUP_BY,0,1,2,100,,3,,,,join_count
4,2026-02-14T21:37:44.435605,0.0,'duration_ms',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
