execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,physical_error,physical_rows,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
24,2026-02-03T12:08:43.126206,17.935666721314192,,,True,,10,4.096624907106161,,10,10.059082880616188,,10,3.7799589335918427,skipped_for_multi_policy,0,0.0,1,GROUP_BY,4,5,0,,1,10,,,num_groups
25,2026-02-03T12:08:45.601470,684.5029580872506,,,True,,999999,229.98854191973805,,999999,226.46145801991224,,1000000,228.0529581476003,skipped_for_multi_policy,0,0.0,1,ORDER_BY,4,5,0,,1,,1,100,policy_threshold
26,2026-02-03T12:08:48.109649,650.1292490866035,,,True,,999999,219.61158304475248,,999999,218.80024997517467,,1000000,211.71741606667638,skipped_for_multi_policy,0,0.0,1,SELECT,0,1,1,,2,,2,1000,policy_threshold
27,2026-02-03T12:08:50.612511,649.9284999445081,,,True,,999950,218.4338748920709,,999950,219.09058303572237,,999950,212.4040420167148,skipped_for_multi_policy,0,0.0,1,WHERE,0,1,1,,2,,2,1000,policy_threshold
28,2026-02-03T12:08:51.055639,4.9814581871032715,,,True,,9900,2.094374969601631,,9900,1.4358330518007278,,10000,1.4512501657009125,skipped_for_multi_policy,0,0.0,1,JOIN,0,1,1,10000,2,,,,join_matches
29,2026-02-03T12:09:25.656662,21.522832801565528,,,True,,100,4.300917033106089,,100,12.626832816749811,,100,4.595082951709628,skipped_for_multi_policy,0,0.0,1,GROUP_BY,0,1,1,,2,100,,,num_groups
30,2026-02-03T12:09:28.176267,705.9090421535075,,,True,,999999,231.97287507355213,,999999,244.5152080617845,,1000000,229.42095901817083,skipped_for_multi_policy,0,0.0,1,ORDER_BY,0,1,1,,2,,2,1000,policy_threshold
31,2026-02-03T12:09:30.686788,653.4127919003367,,,True,,999999,221.81649995036423,,999999,217.94212493114173,,1000000,213.65416701883078,skipped_for_multi_policy,0,0.0,1,SELECT,1,2,1,,2,,2,1000,policy_threshold
32,2026-02-03T12:09:33.212217,664.0357917640358,,,True,,999950,220.0613748282194,,999950,216.61920798942447,,999950,227.35520894639194,skipped_for_multi_policy,0,0.0,1,WHERE,1,2,1,,2,,2,1000,policy_threshold
33,2026-02-03T12:09:33.653622,5.6622077245265245,,,True,,9900,2.1613328717648983,,9900,1.8933750689029694,,10000,1.6074997838586569,skipped_for_multi_policy,0,0.0,1,JOIN,1,2,1,10000,2,,,,join_matches
34,2026-02-03T12:10:08.080742,20.066542783752084,,,True,,100,4.333416931331158,,100,12.156208977103233,,100,3.5769168753176928,skipped_for_multi_policy,0,0.0,1,GROUP_BY,1,2,1,,2,100,,,num_groups
35,2026-02-03T12:10:10.594268,689.4465419463813,,,True,,999999,232.16333286836743,,999999,230.3880420513451,,1000000,226.8951670266688,skipped_for_multi_policy,0,0.0,1,ORDER_BY,1,2,1,,2,,2,1000,policy_threshold
36,2026-02-03T12:10:13.155808,655.4865422658622,,,True,,999999,220.73608310893178,,999999,220.1227091718465,,1000000,214.62774998508394,skipped_for_multi_policy,0,0.0,1,SELECT,2,3,1,,2,,2,1000,policy_threshold
37,2026-02-03T12:10:15.683782,653.025375911966,,,True,,999950,217.05612493678927,,999950,218.60645897686481,,999950,217.36279199831188,skipped_for_multi_policy,0,0.0,1,WHERE,2,3,1,,2,,2,1000,policy_threshold
38,2026-02-03T12:10:16.126514,4.88025089725852,,,True,,9900,2.070459071546793,,9900,1.4004588592797518,,10000,1.4093329664319754,skipped_for_multi_policy,0,0.0,1,JOIN,2,3,1,10000,2,,,,join_matches
39,2026-02-03T12:10:50.703343,21.298292092978954,,,True,,100,4.9223750829696655,,100,12.558459071442485,,100,3.817457938566804,skipped_for_multi_policy,0,0.0,1,GROUP_BY,2,3,1,,2,100,,,num_groups
40,2026-02-03T12:10:53.201518,683.6914569139481,,,True,,999999,228.42354094609618,,999999,230.233957991004,,1000000,225.0339579768479,skipped_for_multi_policy,0,0.0,1,ORDER_BY,2,3,1,,2,,2,1000,policy_threshold
41,2026-02-03T12:10:55.712085,658.3654591813684,,,True,,999999,222.48625010252,,999999,219.73575023002923,,1000000,216.14345884881914,skipped_for_multi_policy,0,0.0,1,SELECT,3,4,1,,2,,2,1000,policy_threshold
42,2026-02-03T12:10:58.218887,652.0123749505728,,,True,,999950,219.67833302915096,,999950,220.98383400589228,,999950,211.3502079155296,skipped_for_multi_policy,0,0.0,1,WHERE,3,4,1,,2,,2,1000,policy_threshold
43,2026-02-03T12:10:58.665659,4.820958012714982,,,True,,9900,2.0869169384241104,,9900,1.3800000306218863,,10000,1.3540410436689854,skipped_for_multi_policy,0,0.0,1,JOIN,3,4,1,10000,2,,,,join_matches
44,2026-02-03T12:11:33.195280,20.6665419973433,,,True,,100,4.234249936416745,,100,12.43570912629366,,100,3.9965829346328974,skipped_for_multi_policy,0,0.0,1,GROUP_BY,3,4,1,,2,100,,,num_groups
45,2026-02-03T12:11:35.691496,692.7481249440461,,,True,,999999,231.67283297516406,,999999,233.0547079909593,,1000000,228.0205839779228,skipped_for_multi_policy,0,0.0,1,ORDER_BY,3,4,1,,2,,2,1000,policy_threshold
46,2026-02-03T12:11:38.211050,644.8067920282483,,,True,,999999,217.28129195980728,,999999,216.39791689813137,,1000000,211.12758317030966,skipped_for_multi_policy,0,0.0,1,SELECT,4,5,1,,2,,2,1000,policy_threshold
47,2026-02-03T12:11:40.723043,649.5547920931131,,,True,,999950,220.70954111404717,,999950,215.78741702251136,,999950,213.05783395655453,skipped_for_multi_policy,0,0.0,1,WHERE,4,5,1,,2,,2,1000,policy_threshold
48,2026-02-03T12:11:41.168269,5.274000810459256,,,True,,9900,2.2230418398976326,,9900,1.439542043954134,,10000,1.6114169266074896,skipped_for_multi_policy,0,0.0,1,JOIN,4,5,1,10000,2,,,,join_matches
49,2026-02-03T12:12:15.721682,20.181207917630672,,,True,,100,4.300791071727872,,100,11.81462500244379,,100,4.06579184345901,skipped_for_multi_policy,0,0.0,1,GROUP_BY,4,5,1,,2,100,,,num_groups
50,2026-02-03T12:12:18.197121,682.6597489416599,,,True,,999999,229.6321669127792,,999999,227.26179100573063,,1000000,225.7657910231501,skipped_for_multi_policy,0,0.0,1,ORDER_BY,4,5,1,,2,,2,1000,policy_threshold
51,2026-02-03T12:12:20.753599,682.47350002639,,,True,,999999,222.6403751410544,,999999,221.06687491759658,,1000000,238.766249967739,skipped_for_multi_policy,0,0.0,1,SELECT,0,1,2,,3,,11,10000,policy_threshold
52,2026-02-03T12:12:23.263420,655.3464990574867,,,True,,999950,222.67087502405047,,999950,221.15708305500448,,999950,211.5185409784317,skipped_for_multi_policy,0,0.0,1,WHERE,0,1,2,,3,,11,10000,policy_threshold
53,2026-02-03T12:12:26.864689,33.68608187884092,,,True,,99900,11.658291099593043,,99900,11.107249883934855,,100000,10.920540895313025,skipped_for_multi_policy,0,0.0,1,JOIN,0,1,2,100000,3,,,,join_matches
54,2026-02-03T12:13:01.531673,23.255290929228067,,,True,,1000,4.829165991395712,,1000,14.25066590309143,,1000,4.175459034740925,skipped_for_multi_policy,0,0.0,1,GROUP_BY,0,1,2,,3,1000,,,num_groups
55,2026-02-03T12:13:04.009983,684.6400829963386,,,True,,999999,232.05966711975634,,999999,232.02145798131824,,1000000,220.55895789526403,skipped_for_multi_policy,0,0.0,1,ORDER_BY,0,1,2,,3,,11,10000,policy_threshold
56,2026-02-03T12:13:06.514668,649.0187088493258,,,True,,999999,220.22016695700586,,999999,219.53029185533524,,1000000,209.26825003698468,skipped_for_multi_policy,0,0.0,1,SELECT,1,2,2,,3,,11,10000,policy_threshold
57,2026-02-03T12:13:09.017538,653.5688336007297,,,True,,999950,218.57674978673458,,999950,221.90908389165998,,999950,213.08299992233515,skipped_for_multi_policy,0,0.0,1,WHERE,1,2,2,,3,,11,10000,policy_threshold
58,2026-02-03T12:13:12.615320,34.12125026807189,,,True,,99900,11.759041110053658,,99900,11.336375027894974,,100000,11.025834130123258,skipped_for_multi_policy,0,0.0,1,JOIN,1,2,2,100000,3,,,,join_matches
59,2026-02-03T12:13:47.257055,22.97666692174971,,,True,,1000,4.803208168596029,,1000,14.202791964635253,,1000,3.970666788518429,skipped_for_multi_policy,0,0.0,1,GROUP_BY,1,2,2,,3,1000,,,num_groups
