execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:28:26.743811,60.74975011870265,,,True,,5,21.53858309611678,,5,39.21116702258587,1,q05,5,1,1.0
2,2026-02-02T02:28:26.812900,58.474040823057294,,,True,,5,21.150457905605435,,5,37.32358291745186,1,q05,5,2,1.0
3,2026-02-02T02:28:26.882145,59.049791656434536,,,True,,5,20.936916815117,,5,38.112874841317534,1,q05,5,3,1.0
4,2026-02-02T02:28:26.954786,62.59333295747638,,,True,,5,21.198832895606756,,5,41.39450006186962,1,q05,5,4,1.0
5,2026-02-02T02:28:27.025201,59.686207910999656,,,True,,5,21.446957951411605,,5,38.23924995958805,1,q05,5,5,1.0
6,2026-02-02T02:28:27.187288,72.44191714562476,,,True,,5,25.826625060290098,,5,46.61529208533466,10,q05,5,1,1.0
7,2026-02-02T02:28:27.347480,71.80362497456372,,,True,,5,24.146958021447062,,5,47.656666953116655,10,q05,5,2,1.0
8,2026-02-02T02:28:27.504951,69.43941581994295,,,True,,5,24.61304096505046,,5,44.82637485489249,10,q05,5,3,1.0
9,2026-02-02T02:28:27.665934,71.11391704529524,,,True,,5,25.25700000114739,,5,45.85691704414785,10,q05,5,4,1.0
10,2026-02-02T02:28:27.825913,71.07883389107883,,,True,,5,24.859833996742964,,5,46.218999894335866,10,q05,5,5,1.0
11,2026-02-02T02:28:28.932010,239.14954182691872,,,True,,5,76.0949170216918,,5,163.05462480522692,100,q05,5,1,1.0
12,2026-02-02T02:28:29.994169,192.90770799852908,,,True,,5,74.57824982702732,,5,118.32945817150176,100,q05,5,2,1.0
13,2026-02-02T02:28:31.083209,193.9106669742614,,,True,,5,75.54704206995666,,5,118.36362490430474,100,q05,5,3,1.0
14,2026-02-02T02:28:32.188317,205.99629171192646,,,True,,5,88.9453748241067,,5,117.05091688781977,100,q05,5,4,1.0
15,2026-02-02T02:28:33.275276,207.7732919715345,,,True,,5,89.57399986684322,,5,118.19929210469127,100,q05,5,5,1.0
16,2026-02-02T02:28:46.221146,4221.956457942724,,,True,,5,3137.978499988094,,5,1083.9779579546303,1000,q05,5,1,1.0
17,2026-02-02T02:28:59.253992,4280.3972500842065,,,True,,5,3239.4011251162738,,5,1040.9961249679327,1000,q05,5,2,1.0
18,2026-02-02T02:29:12.346010,4361.265665851533,,,True,,5,3328.5032499115914,,5,1032.762415939942,1000,q05,5,3,1.0
19,2026-02-02T02:29:25.716898,4667.62899979949,,,True,,5,3632.3567079380155,,5,1035.2722918614745,1000,q05,5,4,1.0
20,2026-02-02T02:29:38.776332,4333.1312499940395,,,True,,5,3292.102125007659,,5,1041.0291249863803,1000,q05,5,5,1.0
