execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:34:21.682040,132.25241703912616,,,True,,175,46.76037491299212,,175,85.49204212613404,1,q09,9,1,1.0
2,2026-02-02T02:34:21.822179,130.2019578870386,,,True,,175,47.565832966938615,,175,82.63612492009997,1,q09,9,2,1.0
3,2026-02-02T02:34:21.962937,130.8144589420408,,,True,,175,46.1971249897033,,175,84.6173339523375,1,q09,9,3,1.0
4,2026-02-02T02:34:22.105755,132.0379169192165,,,True,,175,47.120041912421584,,175,84.91787500679493,1,q09,9,4,1.0
5,2026-02-02T02:34:22.248241,131.43862411379814,,,True,,175,48.094666097313166,,175,83.34395801648498,1,q09,9,5,1.0
6,2026-02-02T02:34:22.482823,143.30645790323615,,,True,,175,52.07745800726116,,175,91.228999895975,10,q09,9,1,1.0
7,2026-02-02T02:34:22.718292,144.4590410683304,,,True,,175,50.34245806746185,,175,94.11658300086856,10,q09,9,2,1.0
8,2026-02-02T02:34:22.952200,144.35250009410083,,,True,,175,52.23649996332824,,175,92.11600013077259,10,q09,9,3,1.0
9,2026-02-02T02:34:23.216939,176.52966710738838,,,True,,175,50.93004205264151,,175,125.59962505474687,10,q09,9,4,1.0
10,2026-02-02T02:34:23.449739,145.36929200403392,,,True,,175,51.98312480933964,,175,93.38616719469428,10,q09,9,5,1.0
11,2026-02-02T02:34:24.660987,338.00466707907617,,,True,,175,115.11479201726615,,175,222.88987506181002,100,q09,9,1,1.0
12,2026-02-02T02:34:25.852719,313.76395793631673,,,True,,175,116.64470797404647,,175,197.11924996227026,100,q09,9,2,1.0
13,2026-02-02T02:34:27.035447,313.4918329305947,,,True,,175,119.15195803157985,,175,194.33987489901483,100,q09,9,3,1.0
14,2026-02-02T02:34:28.236450,327.03962409868836,,,True,,175,115.86158303543925,,175,211.1780410632491,100,q09,9,4,1.0
15,2026-02-02T02:34:29.427998,299.3470828514546,,,True,,175,116.38408293947577,,175,182.96299991197884,100,q09,9,5,1.0
16,2026-02-02T02:34:43.119702,4922.956624999642,,,True,,175,3485.518791945651,,175,1437.4378330539912,1000,q09,9,1,1.0
17,2026-02-02T02:34:57.124383,5087.013790849596,,,True,,175,3691.407665843144,,175,1395.6061250064522,1000,q09,9,2,1.0
18,2026-02-02T02:35:11.023979,5075.544457882643,,,True,,175,3631.285083014518,,175,1444.2593748681247,1000,q09,9,3,1.0
19,2026-02-02T02:35:25.054136,5209.341958165169,,,True,,175,3757.011167006567,,175,1452.3307911586016,1000,q09,9,4,1.0
20,2026-02-02T02:35:39.045403,5174.355291062966,,,True,,175,3735.468457918614,,175,1438.8868331443518,1000,q09,9,5,1.0
