execution_number,timestamp,duration_ms,error,correctness_1phase_error,correctness_1phase_match,correctness_2phase_error,correctness_2phase_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,run_num,source_count,tpch_sf
1,2026-02-16T02:44:39.444244,116.67587491683662,,,1,,1,,37.981958128511906,2.111000008881092,4,40.092958137393,,43.46008296124637,3.2979589886963367,4,46.75804194994271,0,,29.815790941938758,4,1,1,1.0
2,2026-02-16T02:44:39.571700,123.26624989509583,,,1,,1,,37.98400005325675,2.1629170514643192,4,40.14691710472107,,48.27633290551603,3.099667141214013,4,51.37600004673004,0,,31.732707982882857,4,2,1,1.0
3,2026-02-16T02:44:39.692058,116.26566690392792,,,1,,1,,35.78266710974276,2.0758749451488256,4,37.858542054891586,,44.667999958619475,2.9822092037647963,4,47.65020916238427,0,,30.74958291836083,4,3,1,1.0
4,2026-02-16T02:44:39.818699,122.63345788232982,,,1,,1,,39.91529205814004,2.067458815872669,4,41.98275087401271,,44.8811249807477,3.71441594325006,4,48.59554092399776,0,,32.046208158135414,4,4,1,1.0
5,2026-02-16T02:44:39.950717,128.004000056535,,,1,,1,,44.62683293968439,1.8634998705238104,4,46.4903328102082,,44.967666966840625,3.108000149950385,4,48.07566711679101,0,,33.43487484380603,4,5,1,1.0
6,2026-02-16T02:44:40.460559,245.3887090086937,,,1,,1,,71.11100014299154,2.185707911849022,4,73.29670805484056,,95.5488330218941,3.0408750753849745,4,98.58970809727907,1,,73.49912519566715,4,1,1,1.0
7,2026-02-16T02:44:40.737731,273.4371249098331,,,1,,1,,72.39687512628734,2.974333008751273,4,75.37120813503861,,108.90162480063736,19.327082904055715,4,128.22870770469308,1,,69.83262486755848,4,2,1,1.0
8,2026-02-16T02:44:41.004929,262.87120883353055,,,1,,1,,73.77895899116993,2.3759170435369015,4,76.15487603470683,,108.58245892450213,3.3222909551113844,4,111.90474987961352,1,,74.80775006115437,4,3,1,1.0
9,2026-02-16T02:44:41.266991,258.0135001335293,,,1,,1,,78.71120795607567,2.5077499449253082,4,81.21895790100098,,101.69729101471603,3.3089579083025455,4,105.00624892301857,1,,71.78379083052278,4,4,1,1.0
10,2026-02-16T02:44:41.509706,238.711167126894,,,1,,1,,71.73279207199812,2.288667019456625,4,74.02145909145474,,97.52116701565683,4.958791891112924,4,102.47995890676975,1,,62.2058748267591,4,5,1,1.0
11,2026-02-16T02:44:42.006472,237.19804198481143,,,1,,1,,71.60937506705523,2.5039168540388346,4,74.11329192109406,,95.64641700126231,3.2177080865949392,4,98.86412508785725,1,,64.21658303588629,4,1,2,1.0
12,2026-02-16T02:44:42.250297,236.90291587263346,,,1,,1,,72.23341590724885,2.337791956961155,4,74.57120786421001,,95.65424988977611,3.980542067438364,4,99.63479195721447,1,,62.6934168394655,4,2,2,1.0
13,2026-02-16T02:44:42.493625,236.49975005537271,,,1,,1,,70.12962503358722,2.248167060315609,4,72.37779209390283,,97.24049991928041,3.4696669317781925,4,100.7101668510586,1,,63.40799992904067,4,3,2,1.0
14,2026-02-16T02:44:42.742814,241.6562088765204,,,1,,1,,71.13629090599716,2.437459072098136,4,73.5737499780953,,95.96254117786884,3.4381248988211155,4,99.40066607668996,1,,68.67737509310246,4,4,2,1.0
15,2026-02-16T02:44:42.989889,240.6127918511629,,,1,,1,,71.64679118432105,2.6103327982127666,4,74.25712398253381,,96.8700828962028,4.190666833892465,4,101.06074973009527,1,,65.29133301228285,4,5,2,1.0
16,2026-02-16T02:44:43.520059,263.3422079961747,,,1,,1,,77.83329184167087,2.3356659803539515,4,80.16895782202482,,108.62024989910424,3.191625000908971,4,111.81187490001321,2,,71.35820901021361,4,1,1,1.0
17,2026-02-16T02:44:43.791144,267.22549996338785,,,1,,1,,76.68625004589558,2.738417126238346,4,79.42466717213392,,109.23245898447931,4.39166696742177,4,113.62412595190108,2,,74.17287491261959,4,2,1,1.0
18,2026-02-16T02:44:44.054056,259.15141706354916,,,1,,1,,75.59620798565447,2.6560828555375338,4,78.252290841192,,107.5347091536969,3.499582875519991,4,111.03429202921689,2,,69.86037502065301,4,3,1,1.0
19,2026-02-16T02:44:44.322052,264.0923340804875,,,1,,1,,77.35195802524686,2.37724999897182,4,79.72920802421868,,112.55408311262727,3.2118752133101225,4,115.76595832593739,2,,68.59345803968608,4,4,1,1.0
20,2026-02-16T02:44:44.593337,267.63333403505385,,,1,,1,,74.93654196150601,2.375249983742833,4,77.31179194524884,,116.08199984766543,4.226249875500798,4,120.30824972316623,2,,70.00804087147117,4,5,1,1.0
21,2026-02-16T02:44:45.143286,275.9773749858141,,,1,,1,,80.34950005821884,2.848000032827258,4,83.1975000910461,,108.77162497490644,3.842958016321063,4,112.61458299122751,2,,80.16020804643631,4,1,2,1.0
22,2026-02-16T02:44:45.424991,274.53929209150374,,,1,,1,,81.29391679540277,2.629208844155073,4,83.92312563955784,,117.47595784254372,4.666208988055587,4,122.14216683059931,2,,68.46812507137656,4,2,2,1.0
23,2026-02-16T02:44:45.698503,266.4061251562089,,,1,,1,,80.06912493146956,2.5165840052068233,4,82.58570893667638,,102.89858281612396,3.340209135785699,4,106.23879195190966,2,,77.57874997332692,4,3,2,1.0
