execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
4,2026-02-13T02:49:13.943301,738.1274178624153,,,True,,27.145792031660676,1.9802090246230364,5.0,29.126001056283712,,51.559916930273175,5.279666977003217,5.0,56.83958390727639,,30.000624945387244,5.0,30.000624945387244,q05,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,650.7086250931025,,,True,,5.0,1236.41424998641,5.0,622.161207953468
5,2026-02-06T17:53:13.591772,,,,,,,,,,,,,,,,,,,q06,6,1.0,,,,,,,,,,,,,,,,,True,,True,,1.0,299.0288748405874,,,True,,1.0,557.3836250696331,1.0,288.4458750486374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-06T18:13:31.046632,,,,,,,,,,,,,,,,,,,q06,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,427.82441596500576,,,True,,1.0,808.4591249935329,1.0,410.7802920043469,,,,,,,,,,,,,,,
5,2026-02-10T09:52:31.649720,,,,,,,,,,,,,,,,,,,q06,6,1.0,,True,,True,,1.0,3.426333889365196,,,True,,1.0,3.5373750142753124,1.0,2.420875011011958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-13T02:49:16.761550,709.2475001700222,,,True,,7.812374969944358,2.5099581107497215,1.0,10.32233308069408,,14.919291948899629,2.527666976675391,1.0,17.446958925575018,,8.74429102987051,1.0,8.74429102987051,q06,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,706.1309998389333,,,True,,1.0,1380.318291950971,1.0,672.7339171338826
6,2026-02-06T17:53:16.142520,,,,,,,,,,,,,,,,,,,q07,7,1.0,,,,,,,,,,,,,,,,,True,,True,,4.0,379.9928750377149,,,True,,4.0,777.1104578860104,4.0,376.63991609588265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-06T18:13:34.664086,,,,,,,,,,,,,,,,,,,q07,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,690.544290933758,,,True,,4.0,1707.319458015263,4.0,592.4450410529971,,,,,,,,,,,,,,,
6,2026-02-10T09:52:32.057703,,,,,,,,,,,,,,,,,,,q07,7,1.0,,True,,True,,4.0,7.84108298830688,,,True,,4.0,20.52437490783632,4.0,21.869707852602005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-13T02:49:19.771438,1045.6504998728633,,,True,,74.8372080270201,3.686749842017889,4.0,78.52395786903799,,261.0312500037253,8.72254092246294,4.0,269.75379092618823,,67.65829212963581,4.0,67.65829212963581,q07,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,714.5824590697885,,,True,,4.0,1229.4295830652118,4.0,629.7144589480013
7,2026-02-06T17:53:18.078338,,,,,,,,,,,,,,,,,,,q08,8,1.0,,,,,,,,,,,,,,,,,True,,True,,2.0,398.0347500182688,,,True,,2.0,788.4514578618109,2.0,453.00062489695847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
