execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-04T01:11:37.525385,439.0007492620498,,,True,,True,,True,,4,306.3532500527799,,,True,,4,772.6675840094686,4,305.2192081231624,,25.7466658949852,1.6679579857736826,4,27.41462388075888,,77.26558321155608,4.123541992157698,4,81.38912520371377,,24.97779205441475,4,24.97779205441475,q01,1,1.0
2,2026-02-04T01:11:38.825255,356.1254166997969,,,True,,True,,True,,10,329.2933329939842,,,True,,10,610.8134579844773,10,307.8520419076085,,11.883417144417763,3.278332995250821,10,15.161750139668584,,18.68704194203019,3.8800828624516726,10,22.567124804481864,,10.544499848037958,10,10.544499848037958,q03,3,1.0
3,2026-02-04T01:11:40.338803,429.82333176769316,,,True,,True,,True,,5,349.09204207360744,,,True,,5,730.0349590368569,5,293.8705419655889,,28.698083013296127,2.7970420196652412,5,31.49512503296137,,90.14266589656472,2.4246659595519304,5,92.56733185611665,,11.890332913026214,5,11.890332913026214,q04,4,1.0
4,2026-02-04T01:11:41.745771,407.06578991375864,,,True,,True,,True,,5,358.848667005077,,,True,,5,637.042208109051,5,338.2459580898285,,15.458625042811036,1.9292908255010843,5,17.38791586831212,,34.12058297544718,4.553374834358692,5,38.67395780980587,,12.757958145812154,5,12.757958145812154,q05,5,1.0
5,2026-02-04T01:11:42.775012,273.47104204818606,,,True,,True,,True,,1,243.06091689504683,,,True,,1,508.6475829593837,1,253.88445798307657,,4.070041934028268,1.1795831378549337,1,5.249625071883202,,8.565875003114343,2.4115419946610928,1,10.977416997775435,,3.3595419954508543,1,3.3595419954508543,q06,6,1.0
6,2026-02-04T01:11:44.479886,522.4077492021024,,,True,,True,,True,,4,403.4084170125425,,,True,,4,775.1261671073735,4,458.2142501603812,,13.989707920700312,2.9914171900600195,4,16.98112511076033,,24.190207943320274,8.505082922056317,4,32.69529086537659,,14.517083065584302,4,14.517083065584302,q07,7,1.0
7,2026-02-04T01:11:46.013447,401.65291680023074,,,True,,True,,True,,2,446.25795911997557,,,True,,2,681.4093329012394,2,342.10616699419916,,13.038999866694212,2.8800000436604023,2,15.918999910354614,,24.39829194918275,7.121541071683168,2,31.519833020865917,,12.107916874811053,2,12.107916874811053,q08,8,1.0
8,2026-02-04T01:11:47.930127,680.5472078267485,,,True,,True,,True,,175,410.43733386322856,,,True,,175,820.5203751567751,175,508.51724995300174,,41.63433285430074,2.153875073418021,175,43.78820792771876,,79.89250007085502,6.32604188285768,175,86.2185419537127,,42.02320799231529,175,42.02320799231529,q09,9,1.0
9,2026-02-04T01:11:49.398048,435.3398762177676,,,True,,True,,True,,20,339.2527080141008,,,True,,20,688.8250829651952,20,317.15254206210375,,32.63012506067753,3.8891250733286142,20,36.51925013400614,,44.14941696450114,5.524416919797659,20,49.6738338842988,,31.994250137358904,20,31.994250137358904,q10,10,1.0
10,2026-02-04T01:11:50.925798,393.7383752781898,,,True,,True,,True,,2,361.3110419828445,,,True,,2,769.1145839635283,2,337.00566715560853,,13.026083121076226,2.008124953135848,2,15.034208074212074,,25.4613331053406,4.718333948403597,2,30.179667053744197,,11.518832994624972,2,11.518832994624972,q12,12,1.0
11,2026-02-04T01:11:52.001096,299.77649892680347,,,True,,True,,True,,1,288.8312079012394,,,True,,1,482.9015419818461,1,263.28633306548,,9.519750019535422,1.615207875147462,1,11.134957894682884,,13.391959015280008,3.238040953874588,1,16.629999969154596,,8.725207997485995,1,8.725207997485995,q14,14,1.0
12,2026-02-04T01:11:54.928573,896.663375897333,,,True,,True,,True,,57,708.1079168710858,,,True,,57,1317.7807498723269,57,750.0662498641759,,38.61070913262665,4.7404589131474495,57,43.3511680457741,,66.25883304513991,4.1140420362353325,57,70.37287508137524,,32.87308290600777,57,32.87308290600777,q18,18,1.0
13,2026-02-04T01:11:56.220378,381.6326668020338,,,True,,True,,True,,1,306.82950001209974,,,True,,1,598.3004169538617,1,291.9706669636071,,20.07529209367931,4.500916926190257,1,24.576209019869566,,37.37791604362428,7.351916981860995,1,44.72983302548528,,20.355957793071866,1,20.355957793071866,q19,19,1.0
14,2026-02-04T01:11:57.800320,460.7633736450225,,,True,,True,,True,,4,318.07445897720754,,,True,,4,796.8666248489171,4,321.4044161140919,,26.479042135179043,1.9207498989999294,4,28.399792034178972,,81.64929179474711,4.370540846139193,4,86.0198326408863,,24.93933285586536,4,24.93933285586536,q01,1,1.0
15,2026-02-04T01:11:59.177360,374.9730840791017,,,True,,True,,True,,10,345.06716718897223,,,True,,10,652.5207499507815,10,326.36979199014604,,11.790167074650526,3.224333981052041,10,15.014501055702567,,19.024207955226302,3.7688750308007,10,22.793082986027002,,10.795708047226071,10,10.795708047226071,q03,3,1.0
16,2026-02-04T01:12:00.697628,446.84375007636845,,,True,,True,,True,,5,328.48350005224347,,,True,,5,740.9964588005096,5,303.7229999899864,,32.86858298815787,2.4965419434010983,5,35.36512493155897,,91.95145918056369,3.345583099871874,5,95.29704228043556,,12.458582874387503,5,12.458582874387503,q04,4,1.0
17,2026-02-04T01:12:02.228095,419.7674172464758,,,True,,True,,True,,5,377.8417920693755,,,True,,5,728.2636659219861,5,363.0080840084702,,13.431790983304381,2.138083102181554,5,15.569874085485935,,23.35195802152157,4.608666989952326,5,27.960625011473894,,13.228834141045809,5,13.228834141045809,q05,5,1.0
18,2026-02-04T01:12:03.258379,281.6308338660747,,,True,,True,,True,,1,255.7342080399394,,,True,,1,489.0698338858783,1,261.86687499284744,,3.857624949887395,1.1268749367445707,1,4.984499886631966,,8.99062491953373,2.3384590167552233,1,11.329083936288953,,3.45037505030632,1,3.45037505030632,q06,6,1.0
19,2026-02-04T01:12:04.979512,487.86837491206825,,,True,,True,,True,,4,450.0107918865979,,,True,,4,779.2897920589894,4,423.02962485700846,,14.784791972488165,3.168500028550625,4,17.95329200103879,,24.696167092770338,8.767375024035573,4,33.46354211680591,,13.42191593721509,4,13.42191593721509,q07,7,1.0
20,2026-02-04T01:12:06.540472,444.2969576921314,,,True,,True,,True,,2,385.5132919270545,,,True,,2,720.4892090521753,2,361.3811668474227,,14.833958121016622,2.9099169187247753,2,17.743875039741397,,26.415125001221895,8.1643748562783,2,34.579499857500196,,30.59241594746709,2,30.59241594746709,q08,8,1.0
21,2026-02-04T01:12:08.508450,682.453207904473,,,True,,True,,True,,175,457.6412080787122,,,True,,175,822.1702920272946,175,499.39308292232454,,46.14929109811783,2.2636670619249344,175,48.41295816004276,,83.64887512288988,6.437124917283654,175,90.08600004017353,,44.561166781932116,175,44.561166781932116,q09,9,1.0
