execution_number,timestamp,duration_ms,error,complexity_terms,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_match,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,run_num,tpch_sf
1,2026-02-16T00:39:27.285119,868.0798327550292,,1,,True,,29.71570799127221,1.6595411580055952,4,31.375249149277806,,40.40287504903972,True,,2.6275410782545805,4,43.0304161272943,,93.3112078346312,True,,4.700166871771216,4,98.01137470640242,,28.06845889426768,True,4,28.06845889426768,96.93716699257493,,667.594333877787,570.6571668852121,True,,3.5762919578701258,4,667.594333877787,667.594333877787,q01,1,1,1.0
2,2026-02-16T00:39:28.171231,857.1351659484208,,1,,True,,29.555374989286065,1.8854171503335238,4,31.44079213961959,,42.68570803105831,True,,3.342833835631609,4,46.02854186668992,,94.95133301243186,True,,5.430624820291996,4,100.38195783272386,,28.094208100810647,True,4,28.094208100810647,95.47133301384747,,651.1896660085768,555.7183329947293,True,,3.568457905203104,4,651.1896660085768,651.1896660085768,q01,1,2,1.0
3,2026-02-16T00:39:29.057896,858.2268350291997,,1,,True,,29.970834031701088,1.7099168617278337,4,31.68075089342892,,40.609334129840136,True,,2.521459013223648,4,43.130793143063784,,99.00970803573728,True,,5.529874935746193,4,104.53958297148347,,27.552457991987467,True,4,27.552457991987467,93.78208289854228,,651.3232500292361,557.5411671306938,True,,3.696708008646965,4,651.3232500292361,651.3232500292361,q01,1,3,1.0
4,2026-02-16T00:39:29.971031,884.5061254687607,,1,,True,,30.17899999395013,2.1656248718500137,4,32.34462486580014,,36.09599987976253,True,,19.332458963617682,4,55.42845884338021,,96.82754194363952,True,,4.925000015646219,4,101.75254195928574,,28.139833826571703,True,4,28.139833826571703,98.04016607813537,,666.8406659737229,568.8004998955876,True,,4.238208057358861,4,666.8406659737229,666.8406659737229,q01,1,4,1.0
5,2026-02-16T00:39:30.873283,872.6129583083093,,1,,True,,31.794375041499734,1.740999985486269,4,33.535375026986,,40.65837501548231,True,,2.7338331565260887,4,43.392208172008395,,99.1324579808861,True,,5.512000061571598,4,104.6444580424577,,27.366749942302704,True,4,27.366749942302704,106.90312506631017,,663.6741671245545,556.7710420582443,True,,4.278041888028383,4,663.6741671245545,663.6741671245545,q01,1,5,1.0
6,2026-02-16T00:39:32.955312,1008.1357918679714,,10,,True,,61.0942910425365,3.075666958466172,4,64.16995800100267,,65.44695794582367,True,,3.5012499429285526,4,68.94820788875222,,130.47566707246006,True,,8.796457899734378,4,139.27212497219443,,27.29712496511638,True,4,27.29712496511638,98.9848340395838,,708.4483760409057,609.4635420013219,True,,4.367208108305931,4,708.4483760409057,708.4483760409057,q01,1,1,1.0
7,2026-02-16T00:39:34.029466,1042.106168344617,,10,,True,,59.00262505747378,2.4501250591129065,4,61.452750116586685,,67.64991721138358,True,,4.390374990180135,4,72.04029220156372,,131.76845898851752,True,,8.682250045239925,4,140.45070903375745,,29.211125103756785,True,4,29.211125103756785,106.21929191984236,,738.9512918889523,632.7319999691099,True,,4.375082906335592,4,738.9512918889523,738.9512918889523,q01,1,2,1.0
8,2026-02-16T00:39:35.275835,1207.6594573445618,,10,,True,,62.348000006750226,2.8558748308569193,4,65.20387483760715,,73.60541610978544,True,,4.0330421179533005,4,77.63845822773874,,155.9756661299616,True,,11.38645806349814,4,167.36212419345975,,30.99850006401539,True,4,30.99850006401539,116.36879201978445,,866.4565000217408,750.0877080019563,True,,5.154791986569762,4,866.4565000217408,866.4565000217408,q01,1,3,1.0
9,2026-02-16T00:39:36.815472,1487.0077080558985,,10,,True,,87.2057918459177,3.867875086143613,4,91.07366693206131,,100.79854098148644,True,,5.60954213142395,4,106.40808311291039,,212.08725008182228,True,,18.113041995093226,4,230.2002920769155,,37.14479086920619,True,4,37.14479086920619,168.4604580514133,,1022.1808750648052,853.7204170133919,True,,6.294999970123172,4,1022.1808750648052,1022.1808750648052,q01,1,4,1.0
10,2026-02-16T00:39:38.268096,1397.9258325416595,,10,,True,,96.16679092869163,4.280667053535581,4,100.4474579822272,,101.20699997060001,True,,5.922750104218721,4,107.12975007481873,,210.65783314406872,True,,17.354791052639484,4,228.0126241967082,,51.456000190228224,True,4,51.456000190228224,153.08358310721815,,910.8800000976771,757.796416990459,True,,7.520416053012013,4,910.8800000976771,910.8800000976771,q01,1,5,1.0
