execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
1,2026-02-14T14:07:40.188024,28978.231499204412,,,True,,547.7256670128554,11.51545811444521,4,559.2411251273006,,1668.4149999637157,10.652166092768312,4,1679.067166056484,,578.6347081884742,4,578.6347081884742,1654.7070420347154,,24506.581457797438,4.150792025029659,4,26161.288499832153,26161.288499832153,q01,1,10.0
2,2026-02-14T14:07:41.891420,1594.5785425137728,,,True,,284.3075830023736,18.21016683243215,10,302.5177498348057,,286.1116249114275,10.572916828095913,10,296.6845417395234,,410.274124937132,10,410.274124937132,456.0516669880599,,129.05045901425183,6.817582994699478,10,585.1021260023117,585.1021260023117,q03,3,10.0
3,2026-02-14T14:07:45.054804,3155.1255001686513,,,True,,802.4245412088931,7.170083001255989,5,809.594624210149,,2005.191083997488,7.482083979994059,5,2012.673167977482,,332.8577079810202,5,332.8577079810202,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,10.0
4,2026-02-14T14:07:46.947757,1818.5015406925231,,,True,,311.46404100582004,6.978416116908193,5,318.44245712272823,,612.9965002182871,13.126958161592484,5,626.1234583798796,,321.0460420232266,5,321.0460420232266,391.4423331152648,,161.4472500514239,7.697500055655837,5,552.8895831666887,552.8895831666887,q05,5,10.0
5,2026-02-14T14:07:47.868399,859.0704591479152,,,True,,93.98320806212723,3.4627499990165234,1,97.44595806114376,,195.01695898361504,7.010375149548054,1,202.0273341331631,,88.70874997228384,1,88.70874997228384,109.01449993252754,,361.873917048797,3.9842501282691956,1,470.88841698132455,470.88841698132455,q06,6,10.0
6,2026-02-14T14:07:57.187739,9178.300958359614,,,True,,283.58658286742866,8.461709134280682,4,292.04829200170934,,7873.605666914955,22.451458033174276,4,7896.057124948129,,255.0945831462741,4,255.0945831462741,527.7905000839382,,207.31045817956328,9.008333086967468,4,735.1009582635015,735.1009582635015,q07,7,10.0
7,2026-02-14T14:07:59.636029,2385.4759999085218,,,True,,419.4227079860866,5.67004201002419,2,425.0927499961108,,917.8049999754876,17.3442920204252,2,935.1492919959128,,481.23979195952415,2,481.23979195952415,396.76962490193546,,147.22454105503857,11.827874928712845,2,543.994165956974,543.994165956974,q08,8,10.0
8,2026-02-14T14:21:34.631172,814849.5320840739,,,True,,725.414999993518,4.769416991621256,175,730.1844169851393,,809848.7230420578,17.593584023416042,175,809866.3166260812,,748.9906658884138,175,748.9906658884138,2869.710792088881,,634.329583030194,15.684165991842747,175,3504.040375119075,3504.040375119075,q09,9,10.0
9,2026-02-14T14:21:37.820997,3057.68866580911,,,True,,636.7435830179602,17.851040931418538,20,654.5946239493787,,760.9470831230283,22.039290983229876,20,782.9863741062582,,732.7857918571681,20,732.7857918571681,824.1854170337319,,63.13645886257291,7.163916947320104,20,887.3218758963048,887.3218758963048,q10,10,10.0
10,2026-02-14T14:21:39.733219,1819.2844158038497,,,True,,287.1673749759793,6.153082940727472,2,293.3204579167068,,568.2719168253243,12.22633314318955,2,580.4982499685138,,368.35416592657566,2,368.35416592657566,372.7009170688689,,204.4106249231845,7.40154180675745,2,577.1115419920534,577.1115419920534,q12,12,10.0
11,2026-02-14T14:21:40.983507,1193.28400073573,,,True,,187.8137500025332,4.761124961078167,1,192.57487496361136,,279.31516617536545,7.243625121191144,1,286.5587912965566,,206.5492500551045,1,206.5492500551045,197.03983422368765,,310.56125019676983,5.787041038274765,1,507.6010844204575,507.6010844204575,q14,14,10.0
12,2026-02-14T14:21:44.234920,3243.642126908526,,,True,,889.6290420088917,13.873334042727947,100,903.5023760516196,,1571.121791843325,11.864458909258246,100,1582.9862507525831,,757.153500104323,100,757.153500104323,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,10.0
