execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num
1,2026-02-15T00:10:47.186986,88.11954106204212,,,True,1.5448329504579306,0.562791945412755,5,2.1076248958706856,5.455958191305399,True,,1.9178749062120914,5,7.37383309751749,1.4428750146180391,5,1.4428750146180391,13.622208032757044,,79.67587490566075,66.0536668729037,True,,1.2239159550517797,5,79.67587490566075,79.67587490566075,1,GROUP_BY,1
2,2026-02-15T00:10:47.305037,91.57762490212917,,,True,2.0548340398818254,0.8756660390645266,5,2.930500078946352,6.469040876254439,True,,2.059292048215866,5,8.528332924470305,1.6122078523039818,5,1.6122078523039818,16.848500119522214,,81.44154213368893,64.59304201416671,True,,1.1135421227663755,5,81.44154213368893,81.44154213368893,1,GROUP_BY,2
3,2026-02-15T00:10:47.423368,92.20912586897612,,,True,1.8560420721769333,0.6965419743210077,5,2.552584046497941,6.613750010728836,True,,2.1758340299129486,5,8.789584040641785,2.0166668109595776,5,2.0166668109595776,14.777249889448285,,81.72266697511077,66.94541708566248,True,,1.1508751194924116,5,81.72266697511077,81.72266697511077,1,GROUP_BY,3
4,2026-02-15T00:10:47.531269,83.7055838201195,,,True,1.6048748511821032,0.6522499024868011,5,2.2571247536689043,5.544167011976242,True,,1.9516670145094395,5,7.4958340264856815,1.4902499970048666,5,1.4902499970048666,12.364000082015991,,75.06629195995629,62.7022918779403,True,,1.1071250773966312,5,75.06629195995629,75.06629195995629,1,GROUP_BY,4
5,2026-02-15T00:10:47.640006,84.00695747695863,,,True,1.5649578999727964,0.5184579640626907,5,2.083415864035487,6.8164998665452,True,,1.8491249065846205,5,8.66562477312982,1.3985419645905495,5,1.3985419645905495,12.513999827206135,,74.22695774585009,61.71295791864395,True,,1.4133751392364502,5,74.22695774585009,74.22695774585009,1,GROUP_BY,5
6,2026-02-15T00:10:47.786022,85.34937398508191,,,True,1.6589579172432423,1.8813330680131912,5,3.5402909852564335,6.288792006671429,True,,7.745250128209591,5,14.03404213488102,1.3355410192161798,5,1.3355410192161798,12.770083034411073,,76.06608304195106,63.29600000753999,True,,6.384250009432435,5,76.06608304195106,76.06608304195106,10,GROUP_BY,1
7,2026-02-15T00:10:47.931975,83.94316583871841,,,True,1.6849578823894262,1.80591712705791,5,3.490875009447336,6.353874923661351,True,,7.500708103179932,5,13.854583026841283,1.3547909911721945,5,1.3547909911721945,12.640625005587935,,74.54954204149544,61.90891703590751,True,,4.727707942947745,5,74.54954204149544,74.54954204149544,10,GROUP_BY,2
8,2026-02-15T00:10:48.077280,85.6249169446528,,,True,1.7241670284420252,1.877583097666502,5,3.601750126108527,6.553583079949021,True,,7.440374931320548,5,13.99395801126957,1.5262500382959843,5,1.5262500382959843,12.291458901017904,,75.82091679796576,63.52945789694786,True,,5.353874992579222,5,75.82091679796576,75.82091679796576,10,GROUP_BY,3
9,2026-02-15T00:10:48.230465,88.81320687942207,,,True,1.8740829546004534,2.1173751447349787,5,3.991458099335432,7.713542087003589,True,,7.972083054482937,5,15.685625141486526,1.6521250363439322,5,1.6521250363439322,12.802040902897716,,77.5734568014741,64.77141589857638,True,,5.6602919939905405,5,77.5734568014741,77.5734568014741,10,GROUP_BY,4
10,2026-02-15T00:10:48.381725,88.79554201848805,,,True,1.7465001437813044,1.8703341484069824,5,3.616834292188287,7.169167045503855,True,,7.573416922241449,5,14.742583967745304,1.6066660173237324,5,1.6066660173237324,12.181333964690566,,78.27320881187916,66.09187484718859,True,,4.984375089406967,5,78.27320881187916,78.27320881187916,10,GROUP_BY,5
11,2026-02-15T00:10:48.941833,86.57558378763497,,,True,2.694249851629138,32.720166025683284,5,35.41441587731242,7.362875156104565,True,,99.57770793698728,5,106.94058309309185,1.3097908813506365,5,1.3097908813506365,12.458083918318152,,75.20866789855063,62.75058398023248,True,,35.740291932597756,5,75.20866789855063,75.20866789855063,100,GROUP_BY,1
12,2026-02-15T00:10:49.469266,87.11250126361847,,,True,2.7289590798318386,33.0577502027154,5,35.786709282547235,6.865750066936016,True,,62.24766606464982,5,69.11341613158584,1.3952921144664288,5,1.3952921144664288,12.078499887138605,,76.12250000238419,64.04400011524558,True,,55.75549998320639,5,76.12250000238419,76.12250000238419,100,GROUP_BY,2
13,2026-02-15T00:10:49.984877,87.65749959275126,,,True,2.646041801199317,33.28554192557931,5,35.931583726778626,7.21708289347589,True,,61.19350017979741,5,68.4105830732733,1.23924994841218,5,1.23924994841218,11.599124874919653,,76.55512494966388,64.95600007474422,True,,57.69170913845301,5,76.55512494966388,76.55512494966388,100,GROUP_BY,3
14,2026-02-15T00:10:50.485633,92.32366713695228,,,True,2.756166970357299,32.70208393223584,5,35.458250902593136,7.055041147395968,True,,59.837874956429005,5,66.89291610382497,1.3625840656459332,5,1.3625840656459332,12.307124910876155,,81.14987495355308,68.84275004267693,True,,36.452166037634015,5,81.14987495355308,81.14987495355308,100,GROUP_BY,4
15,2026-02-15T00:10:51.000334,84.56945908255875,,,True,2.772292122244835,31.46720794029534,5,34.23950006254017,7.025167113170028,True,,61.1023330129683,5,68.12750012613833,1.33545882999897,5,1.33545882999897,11.99187501333654,,73.43654101714492,61.44466600380838,True,,36.1993748228997,5,73.43654101714492,73.43654101714492,100,GROUP_BY,5
16,2026-02-15T00:10:57.702519,123.14450112171471,,,True,14.16491693817079,2695.803791983053,5,2709.968708921224,15.83420904353261,True,,781.1057909857482,5,796.9400000292808,2.23070802167058,5,2.23070802167058,12.223750120028853,,90.91466711834073,78.69091699831188,True,,426.0168338660151,5,90.91466711834073,90.91466711834073,1000,GROUP_BY,1
17,2026-02-15T00:11:04.362284,114.75699883885682,,,True,12.983833905309439,2766.213959082961,5,2779.1977929882705,15.315416967496276,True,,781.5809159073979,5,796.8963328748941,1.381915993988514,5,1.381915993988514,12.223541038110852,,85.07583197206259,72.85229093395174,True,,410.0369999650866,5,85.07583197206259,85.07583197206259,1000,GROUP_BY,2
18,2026-02-15T00:11:11.019804,112.50004125759006,,,True,12.790750013664365,2803.9606248494238,5,2816.751374863088,15.461583156138659,True,,745.2646249439567,5,760.7262081000954,1.3450419064611197,5,1.3450419064611197,12.005125172436237,,82.90266618132591,70.89754100888968,True,,417.70216706208885,5,82.90266618132591,82.90266618132591,1000,GROUP_BY,3
19,2026-02-15T00:11:17.659887,112.54670820198953,,,True,13.160874834284186,2732.258958974853,5,2745.4198338091373,15.414500143378973,True,,780.7666249573231,5,796.181125100702,1.369166187942028,5,1.369166187942028,11.054291855543852,,82.60216703638434,71.54787518084049,True,,411.84391686692834,5,82.60216703638434,82.60216703638434,1000,GROUP_BY,4
20,2026-02-15T00:11:24.874289,130.39683364331722,,,True,14.355374965816736,2903.5490839742124,5,2917.904458940029,15.910999849438667,True,,745.1262080576271,5,761.0372079070657,2.6614998932927847,5,2.6614998932927847,16.38350007124245,,97.46895893476903,81.08545886352658,True,,408.1584170926362,5,97.46895893476903,97.46895893476903,1000,GROUP_BY,5
