execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
19,2026-02-13T02:51:28.693046,1041.4815002586693,,,True,,67.90041597560048,3.794250078499317,4,71.6946660540998,,262.91991700418293,8.401250001043081,4,271.321167005226,,75.08862507529557,4,75.08862507529557,q07,7,,True,,True,,4,628.3114580437541,,,True,,4,1278.0740829184651,4,623.3770421240479,1.0
20,2026-02-13T02:51:31.598215,889.8168748710304,,,True,,28.790541924536228,2.7300419751554728,2,31.5205838996917,,95.30895808711648,7.872666930779815,2,103.1816250178963,,34.96233304031193,2,34.96233304031193,q08,8,,True,,True,,2,717.4723749049008,,,True,,2,1266.217292053625,2,720.1523329131305,1.0
21,2026-02-13T02:52:16.067035,41524.27220810205,,,True,,62.84279213286936,1.9634999334812164,175,64.80629206635058,,40399.621666176245,6.690416019409895,175,40406.312082195655,,72.94441689737141,175,72.94441689737141,q09,9,,True,,True,,175,926.7409169115126,,,True,,175,1983.850457938388,175,980.2094169426709,1.0
22,2026-02-13T02:52:22.099137,1799.4382509496063,,,True,,71.10708393156528,5.220375023782253,20,76.32745895534754,,102.79279202222824,6.41787494532764,20,109.21066696755588,,164.02712487615645,20,164.02712487615645,q10,10,,True,,True,,20,1563.4944578632712,,,True,,20,2612.7725408878177,20,1449.8730001505464,1.0
23,2026-02-13T02:52:25.864233,995.0451250188053,,,True,,20.402791909873486,3.0065421015024185,2,23.409334011375904,,39.51637493446469,4.5643330086022615,2,44.080707943066955,,33.92133302986622,2,33.92133302986622,q12,12,,True,,True,,2,975.4648339003325,,,True,,2,1772.0588750671595,2,893.6337500344962,1.0
24,2026-02-13T02:52:28.467098,692.5000008195639,,,True,,19.875916885212064,1.9666668958961964,1,21.84258378110826,,27.241416042670608,3.0850418843328953,1,30.326457927003503,,25.34841699525714,1,25.34841699525714,q14,14,,True,,True,,1,685.2610830683261,,,True,,1,1200.615500099957,1,614.982542116195,1.0
25,2026-02-13T02:52:34.954093,1985.9004996251315,,,True,,53.879624931141734,4.723583115264773,57,58.60320804640651,,147.28316687978804,3.786832792684436,57,151.06999967247248,,119.11991704255342,57,119.11991704255342,q18,18,,True,,True,,57,1500.093000009656,,,True,,57,2969.350792001933,57,1657.107374863699,1.0
26,2026-02-13T02:52:41.444910,1708.8282913900912,,,True,,25.67016612738371,3.2781672198325396,1,28.94833334721625,,50.36108288913965,7.2509171441197395,1,57.61200003325939,,34.44750001654029,1,34.44750001654029,q19,19,,True,,True,,1,1638.5065419599414,,,True,,1,3119.3093748297542,1,1587.8204579930753,1.0
27,2026-02-13T02:53:19.900709,9113.316291943192,,,True,,51.887125009670854,1.7055419739335775,4,53.59266698360443,,124.18637494556606,4.307124996557832,4,128.4934999421239,,57.87387513555586,4,57.87387513555586,q01,1,,True,,True,,4,9181.835791096091,,,True,,4,20139.37766617164,4,8873.356249881908,1.0
28,2026-02-13T02:53:22.667045,795.3995827119797,,,True,,21.63729094900191,3.9453329518437386,10,25.582623900845647,,31.926999799907207,4.44037513807416,10,36.36737493798137,,28.622499899938703,10,28.622499899938703,q03,3,,True,,True,,10,717.3322080634534,,,True,,10,1229.6320418827236,10,704.827083973214,1.0
29,2026-02-13T02:53:35.160326,1321.8873762525618,,,True,,45.75354210101068,3.0107498168945312,5,48.76429191790521,,129.1120001114905,2.5332081131637096,5,131.6452082246542,,27.762792073190212,5,27.762792073190212,q04,4,,True,,True,,5,1225.89141712524,,,True,,5,9926.31091712974,5,1113.7150840368122,1.0
30,2026-02-13T02:53:37.944488,803.1813756097108,,,True,,26.70983411371708,3.1034580897539854,5,29.813292203471065,,49.54908322542906,4.136458039283752,5,53.68554126471281,,32.32304216362536,5,32.32304216362536,q05,5,,True,,True,,5,717.2947081271559,,,True,,5,1243.4858749620616,5,687.3594999779016,1.0
