execution_number,postgres_dfc_1phase_time_ms,postgres_dfc_2phase_time_ms,postgres_logical_time_ms,postgres_time_ms,query_num,tpch_sf
1,853.9007499348372,1156.5504160244018,3657.830291893333,888.2932499982417,1,1.0
2,842.9944158997387,1142.647415865213,3604.332249844447,803.8625831250101,1,1.0
3,1021.3596250396222,1460.9257918782532,4520.886667072773,865.1119999121875,1,1.0
4,1386.9221250060946,1901.105707976967,4489.532916108146,1420.5031250603497,1,1.0
5,1404.0712090209126,1904.950167052448,5227.656832896173,1487.7299999352545,1,1.0
6,409.7232921048999,799.1407918743789,736.888290848583,431.1527090612799,3,1.0
7,399.2042080499232,781.2900829594582,718.0648329667747,434.14341704919934,3,1.0
8,421.6655830387026,768.133208155632,723.3145001810044,401.1494170408696,3,1.0
9,385.1195832248777,774.138499982655,696.886083111167,397.360207978636,3,1.0
10,387.70970911718905,759.8063750192523,674.1376251447946,424.794957973063,3,1.0
11,2816.7427079752088,3383.035209029913,3989.8797918576743,692.8696669638157,4,1.0
12,2874.211249873042,3148.72599998489,3479.380917036906,788.2265420630574,4,1.0
13,2832.2505839169025,3155.423749936745,3572.907916037366,867.9511658847332,4,1.0
14,3014.2497499473393,3296.4258331339806,3541.534834075719,872.0087499823421,4,1.0
15,2866.296041989699,3443.3979159221053,3760.451833019033,771.7630830593407,4,1.0
16,299.25891710445285,622.6522498764098,604.4695409946144,767.5908328965306,5,1.0
17,299.3923749309033,611.0686669126153,580.4672499652952,753.4212078899145,5,1.0
18,313.3119170088321,621.646499959752,588.595958892256,757.6915000099689,5,1.0
19,301.2719589751214,645.4033330082893,596.3851660490036,752.3431659210473,5,1.0
20,258.8352500461042,452.7609169017523,523.8927500322461,694.1390840802342,5,1.0
21,346.05812514200807,686.1709160730243,631.9529169704765,607.1773329749703,6,1.0
22,207.63158309273425,418.8229998108,405.1900829654187,212.91904104873535,6,1.0
23,189.72129095345736,429.97287516482174,590.9465420991182,192.34049995429817,6,1.0
24,192.7248751744628,382.7957920730114,372.2605830989778,260.34483313560486,6,1.0
25,192.35958298668265,434.9623329471797,371.4571250602603,202.6944998651743,6,1.0
26,454.8719171434641,971.0704998578876,1008.8742501102388,924.8602078296244,7,1.0
27,424.8336250893771,810.5544168502092,696.0602910257876,953.0567498877645,7,1.0
28,392.4017499666661,799.2002081591636,715.4294170904905,818.9500421285629,7,1.0
29,429.9116670154035,835.0887498818338,710.3626250755042,801.6198328696191,7,1.0
30,375.1352501567453,774.0876669995487,712.6385408919305,803.6406668834388,7,1.0
31,417.18470794148743,1317.5644581206143,1565.521250013262,456.0299578588456,8,1.0
32,395.4777920152992,720.0365830212831,679.142874898389,1065.0370840448886,8,1.0
33,383.01637512631714,819.4040828384459,757.3177500162274,932.899042032659,8,1.0
34,380.09404204785824,1070.5357920378449,702.4739999324083,917.4554159399122,8,1.0
35,396.6035419143736,659.2530829366297,717.9289578925818,733.981458004564,8,1.0
36,1046.6104170773178,1767.972666071728,6710.562458960339,4785.090083954856,9,1.0
37,814.0685830730945,1740.979167167097,6911.560000153258,4687.550292117521,9,1.0
38,958.8536249939352,1616.9197498820722,7243.542625103146,4827.428791904822,9,1.0
39,901.1624169070274,1602.099790936336,6791.4819999132305,4409.785917028785,9,1.0
40,1208.8720409665257,1969.7735828813163,6735.045416979119,4523.510999977589,9,1.0
41,576.3814160600305,1101.741916034371,947.0694998744876,672.162750037387,10,1.0
42,591.6722079273313,1114.4186249002814,943.7328749336302,849.6333749499172,10,1.0
43,564.1354590188712,1100.9704580064863,1005.1254590507596,738.1404580082744,10,1.0
44,554.6794170513749,1064.94737486355,928.986875107512,672.4799589719623,10,1.0
45,506.5177499782294,1019.098041811958,900.062832981348,979.1390830650926,10,1.0
46,437.8740410320461,914.040874922648,841.7312090750784,955.6682088878006,12,1.0
47,537.7490830142051,929.3558329809456,897.711374796927,943.6790840700268,12,1.0
48,456.54854108579457,853.5869580227882,820.3262919560075,968.4732081368566,12,1.0
49,451.1366249062121,860.6785840820521,798.6230831593275,617.6389581523836,12,1.0
50,470.6123750656843,829.3292080052197,773.6667089629918,500.3603750374168,12,1.0
51,288.29312487505376,568.5312091372907,643.3174998965114,325.29475004412234,14,1.0
52,353.59941702336073,623.7020420376211,550.0322920270264,714.869667077437,14,1.0
53,445.20104210823774,549.3992092087865,535.4450840968639,389.98937513679266,14,1.0
54,283.6981669533998,601.6424170229584,556.3604589551687,398.8802498206496,14,1.0
55,308.4792911540717,563.1255421321839,633.6608750279993,602.3459169082344,14,1.0
56,6650.462624849752,11087.684541940687,9245.957707986236,6388.7521252036095,18,1.0
57,6769.030584022403,11417.596874991432,8802.986041875556,7628.8904580287635,18,1.0
58,7307.555374922231,11700.011625187472,9859.5839580521,8963.989542098716,18,1.0
59,6042.870834004134,10826.080999802798,8456.565333064646,5969.829165842384,18,1.0
60,5891.9166249688715,11021.465209079906,8751.783584011719,6095.751958200708,18,1.0
61,477.38929092884064,1006.1457080300896,764.5642920397222,517.0389579143375,19,1.0
62,403.8070419337601,794.2653750069439,751.0378339793533,430.83158298395574,19,1.0
63,495.8489171694964,811.8718338664621,755.4053331259638,745.2556251082569,19,1.0
64,435.57312502525747,840.689541073516,762.5690829008818,421.43024993129075,19,1.0
65,405.8527499437332,780.351750086993,727.2091249469668,417.96612506732345,19,1.0
