execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:29:54.154032,25.36641713231802,,,True,,1,7.539750076830387,,1,17.826667055487633,1,q06,6,1,1.0
2,2026-02-02T02:29:54.189309,25.016875006258488,,,True,,1,7.735874969512224,,1,17.281000036746264,1,q06,6,2,1.0
3,2026-02-02T02:29:54.224203,24.598250165581703,,,True,,1,7.531417068094015,,1,17.066833097487688,1,q06,6,3,1.0
4,2026-02-02T02:29:54.259291,24.708416080102324,,,True,,1,7.8592500649392605,,1,16.849166015163064,1,q06,6,4,1.0
5,2026-02-02T02:29:54.294941,25.39995778352022,,,True,,1,7.589499931782484,,1,17.810457851737738,1,q06,6,5,1.0
6,2026-02-02T02:29:54.472715,34.90787488408387,,,True,,1,10.8342079911381,,1,24.073666892945766,10,q06,6,1,1.0
7,2026-02-02T02:29:54.603919,35.51645902916789,,,True,,1,11.21237501502037,,1,24.30408401414752,10,q06,6,2,1.0
8,2026-02-02T02:29:54.734523,35.90791719034314,,,True,,1,11.459125205874443,,1,24.4487919844687,10,q06,6,3,1.0
9,2026-02-02T02:29:54.864608,35.1668749935925,,,True,,1,11.929749976843596,,1,23.237125016748905,10,q06,6,4,1.0
10,2026-02-02T02:29:54.996165,35.812709014862776,,,True,,1,11.29762502387166,,1,24.515083990991116,10,q06,6,5,1.0
11,2026-02-02T02:29:56.105836,171.37179081328213,,,True,,1,65.3949580155313,,1,105.97683279775083,100,q06,6,1,1.0
12,2026-02-02T02:29:57.202174,160.370958968997,,,True,,1,65.36054192110896,,1,95.01041704788804,100,q06,6,2,1.0
13,2026-02-02T02:29:58.309607,160.26825015433133,,,True,,1,64.70395810902119,,1,95.56429204531014,100,q06,6,3,1.0
14,2026-02-02T02:29:59.446666,174.846458947286,,,True,,1,79.69329203478992,,1,95.15316691249609,100,q06,6,4,1.0
15,2026-02-02T02:30:00.556641,174.46787492372096,,,True,,1,64.47941693477333,,1,109.98845798894763,100,q06,6,5,1.0
16,2026-02-02T02:30:14.150388,4205.705499975011,,,True,,1,3215.9629168454558,,1,989.742583129555,1000,q06,6,1,1.0
17,2026-02-02T02:30:27.945403,4316.293456824496,,,True,,1,3363.3622908964753,,1,952.9311659280211,1000,q06,6,2,1.0
18,2026-02-02T02:30:41.874978,4324.238957837224,,,True,,1,3335.6002918444574,,1,988.6386659927666,1000,q06,6,3,1.0
19,2026-02-02T02:30:55.654482,4435.246124863625,,,True,,1,3401.9400000106543,,1,1033.3061248529702,1000,q06,6,4,1.0
20,2026-02-02T02:31:09.495297,4434.330917196348,,,True,,1,3437.6099170185626,,1,996.7210001777858,1000,q06,6,5,1.0
