execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-04T20:50:25.752437,130.8297070208937,,,True,,27.12620818056166,1.5931660309433937,4,28.719374211505055,,74.15470783598721,3.8431668654084206,4,77.99787470139563,,24.112458107993007,4,24.112458107993007,q01,1,1.0
2,2026-02-04T20:50:25.809854,53.939290810376406,,,True,,12.871332932263613,3.547416068613529,10,16.418749000877142,,21.155166905373335,3.9888329338282347,10,25.14399983920157,,12.376541970297694,10,12.376541970297694,q03,3,1.0
3,2026-02-04T20:50:25.954894,141.7019171640277,,,True,,36.18787508457899,2.2977080661803484,5,38.48558315075934,,87.53245905973017,2.4732500314712524,5,90.00570909120142,,13.210624922066927,5,13.210624922066927,q04,4,1.0
4,2026-02-04T20:50:26.014454,56.333750020712614,,,True,,12.962083099409938,2.4566249921917915,5,15.41870809160173,,24.090874940156937,4.144417122006416,5,28.235292062163353,,12.679749866947532,5,12.679749866947532,q05,5,1.0
5,2026-02-04T20:50:26.036787,19.142876146361232,,,True,,3.500124905258417,1.0879160836338997,1,4.588040988892317,,8.505709003657103,2.185666933655739,1,10.691375937312841,,3.8634592201560736,1,3.8634592201560736,q06,6,1.0
6,2026-02-04T20:50:26.101364,61.37879122979939,,,True,,14.648000011220574,2.602500142529607,4,17.25050015375018,,23.833958199247718,7.61545798741281,4,31.449416186660528,,12.67887488938868,4,12.67887488938868,q07,7,1.0
7,2026-02-04T20:50:26.167854,63.05758282542229,,,True,,13.719499809667468,2.4750831071287394,2,16.194582916796207,,25.381207931786776,7.462166948243976,2,32.84337488003075,,14.019625028595328,2,14.019625028595328,q08,8,1.0
8,2026-02-04T20:50:26.303514,132.12345889769495,,,True,,32.34479110687971,1.864542020484805,175,34.209333127364516,,60.496958903968334,5.30462502501905,175,65.80158392898738,,32.112541841343045,175,32.112541841343045,q09,9,1.0
9,2026-02-04T20:50:26.415443,108.48262393847108,,,True,,31.528874998912215,3.8832910358905792,20,35.412166034802794,,40.69016594439745,4.776542074978352,20,45.4667080193758,,27.603749884292483,20,27.603749884292483,q10,10,1.0
10,2026-02-04T20:50:26.470169,51.36958439834416,,,True,,11.890125228092074,1.8658749759197235,2,13.756000204011798,,21.847167052328587,4.731792025268078,2,26.578959077596664,,11.034625116735697,2,11.034625116735697,q12,12,1.0
11,2026-02-04T20:50:26.508507,35.24979017674923,,,True,,9.607000043615699,1.3455001171678305,1,10.95250016078353,,13.386707985773683,2.8821660671383142,1,16.268874052911997,,8.028415963053703,1,8.028415963053703,q14,14,1.0
12,2026-02-04T20:50:26.661428,149.39595805481076,,,True,,40.26687517762184,3.7810830399394035,57,44.047958217561245,,68.50649998523295,3.717666957527399,57,72.22416694276035,,33.12383289448917,57,33.12383289448917,q18,18,1.0
13,2026-02-04T20:50:26.746177,81.57179388217628,,,True,,19.242167007178068,2.826833864673972,1,22.06900087185204,,33.684334019199014,7.00637511909008,1,40.690709138289094,,18.812083872035146,1,18.812083872035146,q19,19,1.0
14,2026-02-04T20:50:26.878186,128.72079201042652,,,True,,24.328249972313643,1.5069579239934683,4,25.83520789630711,,74.3262090254575,4.221624927595258,4,78.54783395305276,,24.33775016106665,4,24.33775016106665,q01,1,1.0
15,2026-02-04T20:50:26.931574,50.02562515437603,,,True,,12.43320805951953,3.232707967981696,10,15.665916027501225,,20.131417084485292,3.9627919904887676,10,24.09420907497406,,10.265500051900744,10,10.265500051900744,q03,3,1.0
16,2026-02-04T20:50:27.076705,142.03733298927546,,,True,,42.56779095157981,2.1979999728500843,5,44.76579092442989,,81.35450002737343,2.499499823898077,5,83.85399985127151,,13.417542213574052,5,13.417542213574052,q04,4,1.0
17,2026-02-04T20:50:27.137389,57.46387620456517,,,True,,14.493250055238605,1.809417037293315,5,16.30266709253192,,23.903749883174896,5.065167089924216,5,28.968916973099113,,12.192292138934135,5,12.192292138934135,q05,5,1.0
18,2026-02-04T20:50:27.158682,18.018918111920357,,,True,,3.4615842159837484,1.140291802585125,1,4.601876018568873,,8.068084018304944,2.0121249835938215,1,10.080209001898766,,3.336833091452718,1,3.336833091452718,q06,6,1.0
19,2026-02-04T20:50:27.223148,61.3407080527395,,,True,,14.67550010420382,2.563915913924575,4,17.239416018128395,,23.508709156885743,7.571832975372672,4,31.080542132258415,,13.02074990235269,4,13.02074990235269,q07,7,1.0
20,2026-02-04T20:50:27.289768,63.402957981452346,,,True,,13.930749846622348,2.3863748647272587,2,16.317124711349607,,26.087083155289292,7.18904216773808,2,33.27612532302737,,13.809707947075367,2,13.809707947075367,q08,8,1.0
21,2026-02-04T20:50:27.427760,134.6796250436455,,,True,,32.40083297714591,2.3466250859200954,175,34.747458063066006,,61.11879204399884,5.333249922841787,175,66.45204196684062,,33.48012501373887,175,33.48012501373887,q09,9,1.0
22,2026-02-04T20:50:27.542544,111.3012507557869,,,True,,28.61562487669289,3.918166970834136,20,32.53379184752703,,45.1320840511471,4.392249975353479,20,49.52433402650058,,29.243124881759286,20,29.243124881759286,q10,10,1.0
23,2026-02-04T20:50:27.596851,51.146917976439,,,True,,12.040124973282218,1.8882090225815773,2,13.928333995863795,,21.671625087037683,4.432166926562786,2,26.10379201360047,,11.114791966974735,2,11.114791966974735,q12,12,1.0
