execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,row_count,run_num,table_width
1,2026-02-15T01:18:26.038840,94.20049912296236,,,True,6.938165985047817,1.7410831060260534,1,8.67924909107387,7.1772919036448,True,,5.1299999468028545,1,12.307291850447655,3.4822910092771053,1,3.4822910092771053,15.290334122255445,,76.60275022499263,61.31241610273719,True,,2.1442079450935125,1,76.60275022499263,76.60275022499263,1,WIDE_AGG,1000000,1,32
2,2026-02-15T01:18:26.157149,90.66683403216302,,,True,6.401333026587963,1.3599579688161612,1,7.761290995404124,6.414167117327452,True,,5.90216601267457,1,12.316333130002022,3.5003339871764183,1,3.5003339871764183,12.99420790746808,,74.35099990107119,61.35679199360311,True,,2.1287500858306885,1,74.35099990107119,74.35099990107119,1,WIDE_AGG,1000000,2,32
3,2026-02-15T01:18:26.368072,183.7700419127941,,,True,6.381624843925238,1.4192499220371246,1,7.800874765962362,6.478584138676524,True,,5.201917141675949,1,11.680501280352473,2.807250013574958,1,2.807250013574958,14.087124960497022,,168.1025829166174,154.01545795612037,True,,2.0960408728569746,1,168.1025829166174,168.1025829166174,1,WIDE_AGG,1000000,3,32
4,2026-02-15T01:18:26.487208,91.7631690390408,,,True,6.706667132675648,1.8075830303132534,1,8.514250162988901,6.920834071934223,True,,4.927917150780559,1,11.848751222714782,2.9070419259369373,1,2.9070419259369373,14.527791878208518,,75.228625908494,60.70083403028548,True,,2.2385409101843834,1,75.228625908494,75.228625908494,1,WIDE_AGG,1000000,4,32
5,2026-02-15T01:18:26.605434,91.22379217296839,,,True,7.837624987587333,1.3517499901354313,1,9.189374977722764,6.199707975611091,True,,5.559666082262993,1,11.759374057874084,4.213500069454312,1,4.213500069454312,12.36237515695393,,72.97295914031565,60.61058398336172,True,,2.07895808853209,1,72.97295914031565,72.97295914031565,1,WIDE_AGG,1000000,5,32
6,2026-02-15T01:18:29.803848,129.93187527172267,,,True,18.776583019644022,2.1509998477995396,1,20.92758286744356,16.390791162848473,True,,9.486875031143427,1,25.8776661939919,7.130292011424899,1,7.130292011424899,19.176333909854293,,87.63420907780528,68.45787516795099,True,,3.676332999020815,1,87.63420907780528,87.63420907780528,1,WIDE_AGG,1000000,1,64
7,2026-02-15T01:18:29.959793,123.65974974818528,,,True,19.769165897741914,2.1958339493721724,1,21.964999847114086,14.169499976560473,True,,8.970958879217505,1,23.14045885577798,8.265874814242125,1,8.265874814242125,16.049459110945463,,81.45520905964077,65.4057499486953,True,,3.3712920267134905,1,81.45520905964077,81.45520905964077,1,WIDE_AGG,1000000,2,64
8,2026-02-15T01:18:30.127114,134.56441601738334,,,True,21.204458083957434,2.649083035066724,1,23.853541119024158,14.604332856833935,True,,8.509499952197075,1,23.11383280903101,6.689915899187326,1,6.689915899187326,16.07570913620293,,92.06570917740464,75.99000004120171,True,,3.380957990884781,1,92.06570917740464,92.06570917740464,1,WIDE_AGG,1000000,3,64
9,2026-02-15T01:18:30.287076,125.10095909237862,,,True,22.963833063840866,2.768999896943569,1,25.732832960784435,14.669416937977076,True,,10.309374891221523,1,24.9787918291986,7.789500057697296,1,7.789500057697296,16.200667014345527,,79.67820903286338,63.47754201851785,True,,3.762915963307023,1,79.67820903286338,79.67820903286338,1,WIDE_AGG,1000000,4,64
10,2026-02-15T01:18:30.442193,121.89079215750098,,,True,19.969291053712368,2.250291872769594,1,22.219582926481962,13.84658389724791,True,,8.765416918322444,1,22.612000815570354,7.31749995611608,1,7.31749995611608,15.025083208456635,,80.75741725042462,65.73233404196799,True,,3.508874913677573,1,80.75741725042462,80.75741725042462,1,WIDE_AGG,1000000,5,64
