execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,row_count,run_num,table_width
1,2026-02-15T02:32:07.098721,10.96141804009676,,,True,0.4124999977648258,0.8010829333215952,1,1.213582931086421,0.5303749348968267,True,,1.6582501120865345,1,2.1886250469833612,0.24270894937217236,1,0.24270894937217236,2.479625167325139,,9.775834158062935,7.296208990737796,True,,0.8058748207986355,1,9.775834158062935,9.775834158062935,1,WIDE_AGG,100000,1,2
2,2026-02-15T02:32:07.129411,11.7293749935925,,,True,0.34212484024465084,0.4854169674217701,1,0.8275418076664209,0.6667091511189938,True,,1.8457078840583563,1,2.51241703517735,0.24045794270932674,1,0.24045794270932674,2.7119580190628767,,10.48008305951953,7.768125040456653,True,,0.808000098913908,1,10.48008305951953,10.48008305951953,1,WIDE_AGG,100000,2,2
3,2026-02-15T02:32:07.160505,10.896998923271894,,,True,0.376999843865633,0.5032091867178679,1,0.8802090305835009,0.5310410633683205,True,,1.4452501200139523,1,1.9762911833822727,0.27908291667699814,1,0.27908291667699814,2.2657921072095633,,9.709875099360943,7.44408299215138,True,,0.9827909525483847,1,9.709875099360943,9.709875099360943,1,WIDE_AGG,100000,3,2
4,2026-02-15T02:32:07.190548,10.532166576012969,,,True,0.3247498534619808,0.43654185719788074,1,0.7612917106598616,0.45787496492266655,True,,1.3292499352246523,1,1.7871249001473188,0.2719580661505461,1,0.2719580661505461,2.078208839520812,,9.477583691477776,7.3993748519569635,True,,0.6668339483439922,1,9.477583691477776,9.477583691477776,1,WIDE_AGG,100000,4,2
5,2026-02-15T02:32:07.221740,11.241249507293105,,,True,0.35241618752479553,0.4617499653249979,1,0.8141661528497934,0.44625019654631615,True,,1.3952921144664288,1,1.841542311012745,0.27712504379451275,1,0.27712504379451275,2.2545000538229942,,10.16545807942748,7.9109580256044865,True,,0.7584169507026672,1,10.16545807942748,10.16545807942748,1,WIDE_AGG,100000,5,2
6,2026-02-15T02:32:07.297235,11.787958908826113,,,True,0.46087498776614666,0.5513750948011875,1,1.0122500825673342,0.5637090653181076,True,,1.6202919650822878,1,2.1840010304003954,0.31462498009204865,1,0.31462498009204865,2.5907079689204693,,10.44874987564981,7.8580419067293406,True,,0.8663330227136612,1,10.44874987564981,10.44874987564981,1,WIDE_AGG,100000,1,4
7,2026-02-15T02:32:07.327388,11.143251089379191,,,True,0.46129198744893074,0.510083045810461,1,0.9713750332593918,0.539042055606842,True,,1.5505000483244658,1,2.089542103931308,0.3372090868651867,1,0.3372090868651867,2.536958083510399,,9.805707959458232,7.268749875947833,True,,0.8313748985528946,1,9.805707959458232,9.805707959458232,1,WIDE_AGG,100000,2,4
8,2026-02-15T02:32:07.358833,11.938916286453605,,,True,0.44400012120604515,0.48383395187556744,1,0.9278340730816126,0.5426250863820314,True,,1.5727079007774591,1,2.1153329871594906,0.3016670234501362,1,0.3016670234501362,2.2385830525308847,,10.650624055415392,8.412041002884507,True,,0.7769581861793995,1,10.650624055415392,10.650624055415392,1,WIDE_AGG,100000,3,4
9,2026-02-15T02:32:07.390754,11.619126191362739,,,True,0.4965420812368393,0.5547499749809504,1,1.0512920562177896,0.6926250644028187,True,,1.7556250095367432,1,2.448250073939562,0.3656249027699232,1,0.3656249027699232,2.2839170414954424,,10.064334142953157,7.780417101457715,True,,0.7515831384807825,1,10.064334142953157,10.064334142953157,1,WIDE_AGG,100000,4,4
10,2026-02-15T02:32:07.422289,11.46645937114954,,,True,0.4584591370075941,0.5120420828461647,1,0.9705012198537588,0.5591250956058502,True,,1.6829580999910831,1,2.2420831955969334,0.30662515200674534,1,0.30662515200674534,2.2356249392032623,,10.14224998652935,7.906625047326088,True,,0.7516248151659966,1,10.14224998652935,10.14224998652935,1,WIDE_AGG,100000,5,4
