execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
30,2026-02-03T01:17:55.093467,5527.0470411051065,,,True,,5,3704.77870805189,,5,1523.8162081222981,,5,298.4521249309182,1000,q05,5,10.0
31,2026-02-03T01:18:11.268761,7260.711041744798,,,True,,1,5849.897166946903,,1,1334.5597498118877,,1,76.25412498600781,1000,q06,6,10.0
32,2026-02-03T01:18:27.001463,6605.429083807394,,,True,,4,3913.0774999503046,,4,2149.15933390148,,4,543.1922499556094,1000,q07,7,10.0
33,2026-02-03T01:18:41.033377,5193.066083127633,,,True,,2,3589.43000016734,,2,1396.0258748847991,,2,207.61020807549357,1000,q08,8,10.0
34,2026-02-03T01:19:04.151730,14207.575416890904,,,True,,175,7610.475959023461,,175,6108.594374964014,,175,488.50508290342987,1000,q09,9,10.0
35,2026-02-03T01:19:15.378603,2242.495416197926,,,True,,20,337.63629104942083,,20,1566.5878329891711,,20,338.2712921593338,1000,q10,10,10.0
36,2026-02-03T01:19:29.395535,5097.717208787799,,,True,,2,3603.3719580154866,,2,1370.6881669349968,,2,123.65708383731544,1000,q12,12,10.0
37,2026-02-03T01:19:43.642713,5371.914834016934,,,True,,1,3917.702625039965,,1,1353.2383749261498,,1,100.97383405081928,1000,q14,14,10.0
38,2026-02-03T01:19:57.812805,5237.5227911397815,,,True,,100,432.80775006860495,,100,3694.0762500744313,,100,1110.6387909967452,1000,q18,18,10.0
39,2026-02-03T01:20:11.973562,5055.464165983722,,,True,,1,3558.1269580870867,,1,1321.7612910084426,,1,175.5759168881923,1000,q19,19,10.0
40,2026-02-03T01:21:36.873221,75948.7252079416,,,True,,4,37831.96787489578,,4,37845.11991706677,,4,271.63741597905755,1000,q01,1,10.0
41,2026-02-03T01:21:47.562386,1697.3102500196546,,,True,,10,187.79337499290705,,10,1318.4370000381023,,10,191.07987498864532,1000,q03,3,10.0
42,2026-02-03T01:23:27.541032,2240.673833992332,,"Errors: dfc=Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB', logical=None",False,"Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB'",0,0.0,,0,2084.3367089983076,,5,156.33712499402463,1000,q04,4,10.0
43,2026-02-03T01:23:42.060063,5479.171501006931,,,True,,5,3675.296999979764,,5,1512.3589171562344,,5,291.51558387093246,1000,q05,5,10.0
44,2026-02-03T01:23:58.377949,7384.297208162025,,,True,,1,5955.8781671803445,,1,1354.1073331143707,,1,74.31170786730945,1000,q06,6,10.0
45,2026-02-03T01:24:14.030576,6642.567417118698,,,True,,4,3922.5825420580804,,4,2146.9745421782136,,4,573.0103328824043,1000,q07,7,10.0
46,2026-02-03T01:24:28.190902,5148.137084208429,,,True,,2,3553.864167071879,,2,1396.1251250002533,,2,198.14779213629663,1000,q08,8,10.0
