execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-13T02:35:54.187111,9198.068623896688,,,True,,55.31474994495511,1.7449159640818834,4,57.059665909036994,,127.3024589754641,4.42308303900063,4,131.72554201446474,,60.79958309419453,4,60.79958309419453,q01,1,,True,,True,,4,10235.874874982983,,,True,,4,20071.563167031854,4,8948.483832878992,1.0
2,2026-02-13T02:35:56.950408,738.3236682508141,,,True,,25.052041979506612,4.272709134966135,10,29.324751114472747,,31.03345911949873,3.9968329947441816,10,35.03029211424291,,27.270833030343056,10,27.270833030343056,q03,3,,True,,True,,10,665.9645410254598,,,True,,10,1331.7104170564562,10,646.6977919917554,1.0
3,2026-02-13T02:35:59.653677,1410.7823760714382,,,True,,44.70962495543063,2.8698339592665434,5,47.57945891469717,,134.9173749331385,2.6246251072734594,5,137.54200004041195,,30.801708111539483,5,30.801708111539483,q04,4,,True,,True,,5,1232.1239169687033,,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,5,1194.8592090047896,1.0
4,2026-02-13T02:36:02.425311,848.1936659663916,,,True,,27.54087490029633,1.8781251274049282,5,29.41900002770126,,50.13495800085366,4.293665988370776,5,54.428623989224434,,38.548334036022425,5,38.548334036022425,q05,5,,True,,True,,5,655.1810409873724,,,True,,5,1236.2202499061823,5,725.7977079134434,1.0
5,2026-02-13T02:36:05.306358,745.5655422527343,,,True,,8.496792055666447,2.09633307531476,1,10.593125130981207,,16.0068750847131,2.920042024925351,1,18.926917109638453,,10.019625071436167,1,10.019625071436167,q06,6,,True,,True,,1,719.3459998816252,,,True,,1,1390.7335828989744,1,706.0258749406785,1.0
6,2026-02-13T02:36:08.256430,1070.186581928283,,,True,,74.26287489943206,4.830791149288416,4,79.09366604872048,,289.4799578934908,8.058832958340645,4,297.53879085183144,,68.00270802341402,4,68.00270802341402,q07,7,,True,,True,,4,632.3086670599878,,,True,,4,1225.5867500789464,4,625.551417004317,1.0
7,2026-02-13T02:36:11.013369,794.3580844439566,,,True,,25.002167094498873,2.7870419435203075,2,27.78920903801918,,84.25212511792779,7.374584209173918,2,91.62670932710171,,32.64450002461672,2,32.64450002461672,q08,8,,True,,True,,2,677.0144999027252,,,True,,2,1263.1115838885307,2,642.297666054219,1.0
8,2026-02-13T02:36:49.869203,35930.054624564946,,,True,,57.747374987229705,1.8712079618126154,175,59.61858294904232,,34827.11537508294,5.487583810463548,175,34832.6029588934,,70.43058285489678,175,70.43058285489678,q09,9,,True,,True,,175,930.9747500810772,,,True,,175,1960.1457498501986,175,967.4024998676032,1.0
9,2026-02-13T02:36:55.839665,1837.1483332011849,,,True,,88.3576669730246,5.578167038038373,20,93.93583401106298,,101.4704171102494,7.682583061978221,20,109.15300017222762,,116.35566595941782,20,116.35566595941782,q10,10,,True,,True,,20,1464.4702090881765,,,True,,20,2636.541042011231,20,1517.7038330584764,1.0
10,2026-02-13T02:36:59.722771,1002.5729157496244,,,True,,18.673582933843136,2.134084003046155,2,20.80766693688929,,39.10004091449082,4.166125087067485,2,43.266166001558304,,37.53954079002142,2,37.53954079002142,q12,12,,True,,True,,2,1013.9398330356926,,,True,,2,1843.587625073269,2,900.9595420211554,1.0
11,2026-02-13T02:37:02.317293,707.5082503724843,,,True,,15.328708104789257,2.5239582173526287,1,17.852666322141886,,26.18404198437929,3.452667035162449,1,29.63670901954174,,25.897416984662414,1,25.897416984662414,q14,14,,True,,True,,1,631.6424999386072,,,True,,1,1230.2038751076907,1,634.1214580461383,1.0
12,2026-02-13T02:37:08.867085,2004.7358314041048,,,True,,57.47445812448859,4.032833036035299,57,61.50729116052389,,168.73833304271102,3.8039579521864653,57,172.54229099489748,,122.36204114742577,57,122.36204114742577,q18,18,,True,,True,,57,1493.749833200127,,,True,,57,3027.8189580421895,57,1648.3242081012577,1.0
13,2026-02-13T02:37:15.149114,1658.439498860389,,,True,,26.740749832242727,3.2215830869972706,1,29.962332919239998,,57.39733297377825,6.281916052103043,1,63.67924902588129,,32.77270891703665,1,32.77270891703665,q19,19,,True,,True,,1,1547.9585828725249,,,True,,1,3053.1465001404285,1,1532.025207998231,1.0
14,2026-02-13T02:37:53.342137,9090.571457752958,,,True,,58.53920802474022,1.6337078996002674,4,60.17291592434049,,124.65370795689523,4.551541991531849,4,129.20524994842708,,61.56979198567569,4,61.56979198567569,q01,1,,True,,True,,4,9349.224457982928,,,True,,4,19724.216374801472,4,8839.623499894515,1.0
15,2026-02-13T02:37:56.145655,818.4489991981536,,,True,,24.22216604463756,3.994541009888053,10,28.216707054525614,,37.82337508164346,3.960584057494998,10,41.78395913913846,,30.771082965657115,10,30.771082965657115,q03,3,,True,,True,,10,665.40512512438,,,True,,10,1299.0103750489652,10,717.6772500388324,1.0
16,2026-02-13T02:37:58.885632,1408.3487521857023,,,True,,45.071833999827504,3.7754590157419443,5,48.84729301556945,,144.11154203116894,2.7432499919086695,5,146.8547920230776,,30.668084044009447,5,30.668084044009447,q04,4,,True,,True,,5,1267.1024999581277,,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,5,1181.9785831030458,1.0
17,2026-02-13T02:38:01.641505,820.0010005384684,,,True,,71.18491712026298,2.1058751735836267,5,73.29079229384661,,70.83070813678205,4.99829207547009,5,75.82900021225214,,38.26358309015632,5,38.26358309015632,q05,5,,True,,True,,5,653.1624579802155,,,True,,5,1258.867665892467,5,632.6176249422133,1.0
18,2026-02-13T02:38:04.411131,713.6694600339979,,,True,,6.934582954272628,1.2610841076821089,1,8.195667061954737,,14.013499952852726,2.166084013879299,1,16.179583966732025,,7.262875093147159,1,7.262875093147159,q06,6,,True,,True,,1,681.2753342092037,,,True,,1,1351.8186251167208,1,682.031333912164,1.0
19,2026-02-13T02:38:07.401011,1134.9990430753678,,,True,,76.2016661465168,5.277208983898163,4,81.47887513041496,,273.33970880135894,7.9020841512829065,4,281.24179295264184,,75.04812488332391,4,75.04812488332391,q07,7,,True,,True,,4,626.5334999188781,,,True,,4,1205.6539580225945,4,697.2302501089871,1.0
20,2026-02-13T02:38:10.163698,828.376793069765,,,True,,32.09399990737438,3.525458974763751,2,35.61945888213813,,95.85237503051758,7.435083156451583,2,103.28745818696916,,38.25691714882851,2,38.25691714882851,q08,8,,True,,True,,2,657.6954168267548,,,True,,2,1260.5804160702974,2,651.2129588518292,1.0
21,2026-02-13T02:38:47.973887,34694.49329166673,,,True,,67.40308389998972,1.9632079638540745,175,69.3662918638438,,33609.64099992998,6.607249844819307,175,33616.2482497748,,69.47812507860363,175,69.47812507860363,q09,9,,True,,True,,175,1032.4968749191612,,,True,,175,2048.9480420947075,175,939.4006249494851,1.0
22,2026-02-13T02:38:53.903940,1762.7540407702327,,,True,,78.5252081695944,5.305624799802899,20,83.8308329693973,,105.1524169743061,7.201582891866565,20,112.35399986617267,,122.31754092499614,20,122.31754092499614,q10,10,,True,,True,,20,1480.4018340073526,,,True,,20,2662.8234160598367,20,1444.2516670096666,1.0
23,2026-02-13T02:38:57.790068,1102.0087923388928,,,True,,18.72074999846518,2.2895000874996185,2,21.0102500859648,,40.03762500360608,4.186250036582351,2,44.22387504018843,,35.07412504404783,2,35.07412504404783,q12,12,,True,,True,,2,943.2962920982391,,,True,,2,1821.3569158688188,2,1001.7005421686918,1.0
24,2026-02-13T02:39:00.475356,795.4453337006271,,,True,,16.359125031158328,1.7847090493887663,1,18.143834080547094,,26.267207926139235,3.1232498586177826,1,29.390457784757018,,27.08120900206268,1,27.08120900206268,q14,14,,True,,True,,1,634.1786249540746,,,True,,1,1230.970709118992,1,720.8298328332603,1.0
25,2026-02-13T02:39:07.115298,1998.2049581594765,,,True,,55.36408396437764,4.468458006158471,57,59.83254197053611,,150.78258304856718,4.085500026121736,57,154.8680830746889,,118.79170802421868,57,118.79170802421868,q18,18,,True,,True,,57,1542.3462910111994,,,True,,57,3074.152583023533,57,1664.7126250900328,1.0
26,2026-02-13T02:39:13.560413,1704.8096240032464,,,True,,24.968832964077592,3.182416083291173,1,28.151249047368765,,53.61904203891754,7.150957826524973,1,60.769999865442514,,34.93862506002188,1,34.93862506002188,q19,19,,True,,True,,1,1543.8934578560293,,,True,,1,3171.4760418981314,1,1580.9497500304133,1.0
27,2026-02-13T02:39:51.858261,9291.756750782952,,,True,,54.01912494562566,1.7806671094149351,4,55.7997920550406,,128.63308284431696,3.87166696600616,4,132.50474981032312,,61.083209002390504,4,61.083209002390504,q01,1,,True,,True,,4,9153.330333065242,,,True,,4,19823.69887502864,4,9042.368999915197,1.0
28,2026-02-13T02:39:54.522362,734.6723740920424,,,True,,23.684749845415354,3.334708046168089,10,27.019457891583443,,32.02500008046627,4.094042116776109,10,36.11904219724238,,20.697540836408734,10,20.697540836408734,q03,3,,True,,True,,10,642.4608749803156,,,True,,10,1274.4979579001665,10,650.8363331668079,1.0
29,2026-02-13T02:39:57.239708,1405.4385419003665,,,True,,43.86779200285673,2.949042012915015,5,46.81683401577175,,132.75999994948506,2.4825409054756165,5,135.24254085496068,,27.907000156119466,5,27.907000156119466,q04,4,,True,,True,,5,1242.2467090655118,,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,5,1195.4721668735147,1.0
30,2026-02-13T02:39:59.948735,746.3025010656565,,,True,,23.978292010724545,2.205959055572748,5,26.184251066297293,,50.11199996806681,4.696458112448454,5,54.808458080515265,,30.842958018183708,5,30.842958018183708,q05,5,,True,,True,,5,630.9056249447167,,,True,,5,1312.886832980439,5,634.4668339006603,1.0
31,2026-02-13T02:40:03.123038,761.3220827188343,,,True,,7.591041037812829,1.6573749016970396,1,9.248415939509869,,14.48958390392363,2.2167919669300318,1,16.706375870853662,,7.606375031173229,1,7.606375031173229,q06,6,,True,,True,,1,781.1161670833826,,,True,,1,1620.71270798333,1,727.7609158772975,1.0
32,2026-02-13T02:40:06.187912,1107.798000331968,,,True,,65.47358306124806,3.441709093749523,4,68.91529215499759,,258.67316615767777,9.051874978467822,4,267.7250411361456,,66.77083414979279,4,66.77083414979279,q07,7,,True,,True,,4,646.8497500754893,,,True,,4,1290.8159168437123,4,704.3868328910321,1.0
33,2026-02-13T02:40:08.976248,837.5422500539571,,,True,,28.28170917928219,3.8232498336583376,2,32.104959012940526,,85.11120802722871,9.23254108056426,2,94.34374910779297,,39.22795783728361,2,39.22795783728361,q08,8,,True,,True,,2,664.6380410529673,,,True,,2,1264.8611671756953,2,671.86558409594,1.0
