execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:25:29.810316,178.29512478783727,,,True,,5,52.459249971434474,,5,125.8358748164028,1,q04,4,1,1.0
2,2026-02-02T02:25:30.048320,227.12137596681714,,,True,,5,50.69758393801749,,5,176.42379202879965,1,q04,4,2,1.0
3,2026-02-02T02:25:30.242798,183.0977911595255,,,True,,5,61.280541121959686,,5,121.81725003756583,1,q04,4,3,1.0
4,2026-02-02T02:25:30.418184,165.10008391924202,,,True,,5,48.94945886917412,,5,116.1506250500679,1,q04,4,4,1.0
5,2026-02-02T02:25:30.592182,164.12320896051824,,,True,,5,48.37116692215204,,5,115.7520420383662,1,q04,4,5,1.0
6,2026-02-02T02:25:30.924800,237.09650104865432,,,True,,5,115.03116693347692,,5,122.0653341151774,10,q04,4,1,1.0
7,2026-02-02T02:25:31.255744,238.6198751628399,,,True,,5,114.54654205590487,,5,124.07333310693502,10,q04,4,2,1.0
8,2026-02-02T02:25:31.590796,242.66474996693432,,,True,,5,115.47279194928706,,5,127.19195801764727,10,q04,4,3,1.0
9,2026-02-02T02:25:31.931247,247.2368332091719,,,True,,5,118.13200009055436,,5,129.10483311861753,10,q04,4,4,1.0
10,2026-02-02T02:25:32.293485,269.99275013804436,,,True,,5,128.3806669525802,,5,141.61208318546414,10,q04,4,5,1.0
11,2026-02-02T02:25:34.296163,1065.9342920407653,,,True,,0,843.2685420848429,,0,222.66574995592237,100,q04,4,1,1.0
12,2026-02-02T02:25:36.158804,965.6841249670833,,,True,,0,768.1182080414146,,0,197.56591692566872,100,q04,4,2,1.0
13,2026-02-02T02:25:38.066967,1013.481458183378,,,True,,0,822.1087080892175,,0,191.37275009416044,100,q04,4,3,1.0
14,2026-02-02T02:25:39.953961,968.7861248385161,,,True,,0,790.9573749639094,,0,177.82874987460673,100,q04,4,4,1.0
15,2026-02-02T02:25:41.801265,942.7445831242949,,,True,,0,763.8169580604881,,0,178.92762506380677,100,q04,4,5,1.0
16,2026-02-02T02:26:11.325786,20647.432583151385,,,True,,0,19761.935083195567,,0,885.4974999558181,1000,q04,4,1,1.0
17,2026-02-02T02:26:40.953959,20483.683082973585,,,True,,0,19598.843374988064,,0,884.8397079855204,1000,q04,4,2,1.0
18,2026-02-02T02:27:10.704647,20526.377000147477,,,True,,0,19578.679917147383,,0,947.6970830000937,1000,q04,4,3,1.0
19,2026-02-02T02:27:40.151933,20307.02874995768,,,True,,0,19399.829749949276,,0,907.1990000084043,1000,q04,4,4,1.0
20,2026-02-02T02:28:10.822206,21379.922166932374,,,True,,0,20475.896917050704,,0,904.0252498816699,1000,q04,4,5,1.0
