execution_number,timestamp,duration_ms,error,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
39,2026-02-10T10:06:52.845055,121.1018750909716,,q19,19,1.0,,True,,True,,1,3.487790934741497,,,True,,1,9.195666993036866,1,12.74374988861382
40,2026-02-10T10:06:53.193676,274.27670755423605,,q01,1,1.0,,True,,True,,4,29.455624986439943,,,True,,4,34.592875046655536,4,50.55420799180865
41,2026-02-10T10:06:53.320787,95.38141707889736,,q03,3,1.0,,True,,True,,10,7.695291191339493,,,True,,10,13.249540934339166,10,13.533958001062274
42,2026-02-10T10:06:53.732005,200.70899883285165,,q04,4,1.0,,True,,True,,5,9.960625087842343,,,True,,5,190.43583399616185,5,20.01350000500679
43,2026-02-10T10:06:53.890900,117.72412504069509,,q05,5,1.0,,True,,True,,5,6.223957985639572,,,True,,5,12.544707860797644,5,9.299667086452246
44,2026-02-10T10:06:53.941167,33.00229203887284,,q06,6,1.0,,True,,True,,1,1.7828750424087048,,,True,,1,4.925457993522286,1,2.214625012129545
45,2026-02-10T10:06:54.342683,363.7367079500109,,q07,7,1.0,,True,,True,,4,6.05925009585917,,,True,,4,20.04566602408886,4,19.172416999936104
46,2026-02-10T10:06:54.569485,156.7149159964174,,q08,8,1.0,,True,,True,,2,21.55225002206862,,,True,,2,37.34308294951916,2,25.75962501578033
47,2026-02-10T10:07:33.453953,38769.622416934,,q09,9,1.0,,True,,True,,175,28.770208125934005,,,True,,175,66.26854208298028,175,320.6912921741605
48,2026-02-10T10:07:33.946057,432.704791193828,,q10,10,1.0,,True,,True,,20,13.431667117401958,,,True,,20,16.514958115294576,20,83.85387482121587
49,2026-02-10T10:07:34.116152,138.67662381380796,,q12,12,1.0,,True,,True,,2,9.205082897096872,,,True,,2,10.472292080521584,2,31.331917038187385
50,2026-02-10T10:07:34.208066,69.31529147550464,,q14,14,1.0,,True,,True,,1,3.996958024799824,,,True,,1,5.7097498793154955,1,5.765416892245412
51,2026-02-10T10:07:34.809781,502.66133318655193,,q18,18,1.0,,True,,True,,57,55.98679184913635,,,True,,57,31.411124859005213,57,83.29579210840166
52,2026-02-10T10:07:34.950722,116.3490826729685,,q19,19,1.0,,True,,True,,1,3.663790877908468,,,True,,1,6.231790874153376,1,16.989167081192136
53,2026-02-10T10:07:35.298421,268.99154181592166,,q01,1,1.0,,True,,True,,4,30.57004208676517,,,True,,4,38.02391677163541,4,51.13987508229911
54,2026-02-10T10:07:35.422373,92.21874875947832,,q03,3,1.0,,True,,True,,10,7.668790873140097,,,True,,10,9.91429085843265,10,13.769249897450209
55,2026-02-10T10:07:35.801793,199.67820844613016,,q04,4,1.0,,True,,True,,5,15.190999954938889,,,True,,5,154.83450004830956,5,18.10337509959936
56,2026-02-10T10:07:35.947796,107.02729411423206,,q05,5,1.0,,True,,True,,5,9.504665853455665,,,True,,5,12.630125042051075,5,7.772417040541768
57,2026-02-10T10:07:35.997002,34.40079325810075,,q06,6,1.0,,True,,True,,1,1.8176671583205464,,,True,,1,3.1087088864296675,1,3.2447499688714743
58,2026-02-10T10:07:36.417253,379.6038329601288,,q07,7,1.0,,True,,True,,4,8.001083042472601,,,True,,4,23.13408302143216,4,26.09937498345971
59,2026-02-10T10:07:36.666333,172.56754194386303,,q08,8,1.0,,True,,True,,2,25.932374875992537,,,True,,2,39.58816616795957,2,33.72991597279906
60,2026-02-10T10:08:12.536610,35758.52762465365,,q09,9,1.0,,True,,True,,175,30.665624886751175,,,True,,175,54.409457836300135,175,512.7392918802798
61,2026-02-10T10:08:13.052095,447.9662084486335,,q10,10,1.0,,True,,True,,20,13.917499920353292,,,True,,20,25.40799998678267,20,63.93820815719664
62,2026-02-10T10:08:13.215319,133.04287381470203,,q12,12,1.0,,True,,True,,2,7.121250033378601,,,True,,2,9.868291905149816,2,33.32266700454056
63,2026-02-10T10:08:13.304986,70.45429083518684,,q14,14,1.0,,True,,True,,1,3.441500011831522,,,True,,1,4.691875074058771,1,4.6488328371196985
64,2026-02-10T10:08:13.814751,414.7346660029143,,q18,18,1.0,,True,,True,,57,54.417625069618225,,,True,,57,28.410791885107756,57,93.05733302608132
65,2026-02-10T10:08:13.962327,119.35275117866696,,q19,19,1.0,,True,,True,,1,3.8113328628242016,,,True,,1,7.197583094239235,1,8.64354195073247
