execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
1,2026-02-10T10:04:44.007544,270.5969603266567,,,True,,50.15949998050928,1.6317919362336397,4,51.79129191674292,,116.59558420069516,6.315709091722965,4,122.91129329241812,,47.369000036269426,4,47.369000036269426,q01,1,1.0,,True,,True,,4,30.460292007774115,,,True,,4,35.66204197704792,4,48.52537508122623
2,2026-02-10T10:04:44.149150,110.62850011512637,,,True,,28.91275007277727,3.8319581653922796,10,32.74470823816955,,37.0082501322031,3.966541960835457,10,40.97479209303856,,23.736624978482723,10,23.736624978482723,q03,3,1.0,,True,,True,,10,7.5095840729773045,,,True,,10,8.902624947950244,10,13.172374805435538
3,2026-02-10T10:04:44.565477,211.26300026662648,,,True,,46.99920816347003,2.3815419990569353,5,49.380750162526965,,118.0299581028521,2.450082916766405,5,120.48004101961851,,22.727792151272297,5,22.727792151272297,q04,4,1.0,,True,,True,,5,8.21983302012086,,,True,,5,186.41587509773672,5,18.674416933208704
4,2026-02-10T10:04:44.705966,112.3833330348134,,,True,,25.132833048701286,1.7991249915212393,5,26.931958040222526,,44.820541981607676,4.31162491440773,5,49.132166896015406,,25.255833053961396,5,25.255833053961396,q05,5,1.0,,True,,True,,5,6.864124909043312,,,True,,5,10.969541035592556,5,11.063375044614077
5,2026-02-10T10:04:44.755862,33.68795895949006,,,True,,6.466750055551529,1.2302091345191002,1,7.696959190070629,,14.570249943062663,2.4977498687803745,1,17.067999811843038,,6.341292057186365,1,6.341292057186365,q06,6,1.0,,True,,True,,1,2.1208329126238823,,,True,,1,3.7096249870955944,1,2.581707900390029
6,2026-02-10T10:04:45.178031,384.414748987183,,,True,,58.401166927069426,2.8455830179154873,4,61.24674994498491,,235.5284581426531,8.29191692173481,4,243.82037506438792,,60.63129100948572,4,60.63129100948572,q07,7,1.0,,True,,True,,4,8.105667075142264,,,True,,4,19.124209182336926,4,18.716332968324423
7,2026-02-10T10:04:45.415650,161.41533409245312,,,True,,23.458292009308934,2.4143329355865717,2,25.872624944895506,,76.11187500879169,7.874875096604228,2,83.98675010539591,,20.883334102109075,2,20.883334102109075,q08,8,1.0,,True,,True,,2,25.586624862626195,,,True,,2,39.588999934494495,2,30.67262494005263
8,2026-02-10T10:05:36.105853,50588.723375229165,,,True,,54.659583140164614,1.9456250593066216,175,56.605208199471235,,50197.932875016704,5.388000048696995,175,50203.3208750654,,62.70312494598329,175,62.70312494598329,q09,9,1.0,,True,,True,,175,28.203624999150634,,,True,,175,48.94262505695224,175,266.09416701830924
9,2026-02-10T10:05:36.579474,403.75649905763566,,,True,,73.24912515468895,12.721291044726968,20,85.97041619941592,,85.77287499792874,6.319499807432294,20,92.09237480536103,,164.4152500666678,20,164.4152500666678,q10,10,1.0,,True,,True,,20,12.919542146846652,,,True,,20,18.12695781700313,20,61.278457986190915
10,2026-02-10T10:05:36.736150,127.63633392751217,,,True,,17.72083411924541,4.013875033706427,2,21.734709152951837,,32.89270796813071,4.058249993249774,2,36.95095796138048,,32.37820789217949,2,32.37820789217949,q12,12,1.0,,True,,True,,2,4.962083883583546,,,True,,2,8.32420913502574,2,36.57245892100036
11,2026-02-10T10:05:36.820358,64.21516626141965,,,True,,15.08070807904005,2.5480410549789667,1,17.628749134019017,,21.26254211179912,2.7888340409845114,1,24.051376152783632,,17.350291134789586,1,17.350291134789586,q14,14,1.0,,True,,True,,1,3.355375025421381,,,True,,1,4.826083080843091,1,5.184749839827418
12,2026-02-10T10:05:37.293306,386.9280400685966,,,True,,47.3832911811769,3.935749875381589,57,51.31904105655849,,131.2947920523584,3.6179160233587027,57,134.9127080757171,,97.02612506225705,57,97.02612506225705,q18,18,1.0,,True,,True,,57,48.22587501257658,,,True,,57,27.063915971666574,57,103.67016587406397
13,2026-02-10T10:05:37.489218,119.04137628152966,,,True,,22.598874988034368,3.2487499993294477,1,25.847624987363815,,45.70083413273096,6.366458022966981,1,52.06729215569794,,27.09225006401539,1,27.09225006401539,q19,19,1.0,,True,,True,,1,6.814833963289857,,,True,,1,54.30199997499585,1,14.03420907445252
14,2026-02-10T10:05:37.860187,287.26766793988645,,,True,,49.89333404228091,2.3099579848349094,4,52.20329202711582,,126.03870895691216,3.8730420637875795,4,129.91175102069974,,51.461916882544756,4,51.461916882544756,q01,1,1.0,,True,,True,,4,32.84245799295604,,,True,,4,35.49016686156392,4,53.69070800952613
15,2026-02-10T10:05:38.057207,153.2835413236171,,,True,,20.079582929611206,3.6627091467380524,10,23.74229207634926,,30.438499990850687,3.840832971036434,10,34.27933296188712,,22.227875189855695,10,22.227875189855695,q03,3,1.0,,True,,True,,10,10.95716585405171,,,True,,10,19.064457854256034,10,73.03404109552503
