source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,method
162,24944,24955,clause (i) ,local_structural,162,i,needs_structural_resolution,rej16
162,25017,25031,section 113(c),explicit,113,c,resolved_section,rej16
162,25136,25147,clause (i) ,local_structural,162,i,needs_structural_resolution,rej16
162,25328,25343,subsection (b) ,local_structural,162,b,needs_structural_resolution,rej16
162,25353,25364,section 414,explicit,414,,resolved_section,rej16
162,25428,25443,section 1563(a),explicit,1563,a,resolved_section,rej16
162,25484,25499,paragraphs (2) ,local_structural,162,2,needs_structural_resolution,rej16
162,25793,25807,section 101(a),explicit,101,a,resolved_section,rej16
162,25892,25903,section 120,explicit,120,,resolved_section,rej16
162,26080,26101,subparagraph (B)(ii) ,local_structural,162,B.ii,needs_structural_resolution,rej16
162,26552,26566,section 101(a),explicit,101,a,resolved_section,rej16
162,26651,26662,section 120,explicit,120,,resolved_section,rej16
162,26867,26878,clause (ii),local_structural,162,ii,needs_structural_resolution,rej16
162,27101,27114,clause (i)(I),local_structural,162,i.I,needs_structural_resolution,rej16
162,27412,27425,clause (i)(I),local_structural,162,i.I,needs_structural_resolution,rej16
162,28094,28108,paragraph (4) ,local_structural,162,4,needs_structural_resolution,rej16
162,28126,28143,subparagraph (B) ,local_structural,162,B,needs_structural_resolution,rej16
162,28751,28769,subparagraphs (D) ,local_structural,162,D,needs_structural_resolution,rej16
162,28780,28794,paragraph (4) ,local_structural,162,4,needs_structural_resolution,rej16
162,30962,30980,section 9832(b)(2),explicit,9832,b.2,resolved_section,rej16
162,31066,31084,section 9832(b)(1),explicit,9832,b.1,resolved_section,rej16
162,31225,31243,section 9832(b)(2),explicit,9832,b.2,resolved_section,rej16
162,31383,31401,section 9832(b)(1),explicit,9832,b.1,resolved_section,rej16
162,31453,31469,section 5000A(f),explicit,5000A,f,resolved_section,rej16
162,31558,31572,subsection (b),local_structural,162,b,needs_structural_resolution,rej16
162,31596,31607,section 414,explicit,414,,resolved_section,rej16
162,31671,31686,section 1563(a),explicit,1563,a,resolved_section,rej16
162,31724,31739,paragraphs (2) ,local_structural,162,2,needs_structural_resolution,rej16
162,32144,32158,paragraph (4) ,local_structural,162,4,needs_structural_resolution,rej16
162,32176,32193,subparagraph (B) ,local_structural,162,B,needs_structural_resolution,rej16
162,33255,33273,subparagraphs (D) ,local_structural,162,D,needs_structural_resolution,rej16
162,33284,33298,paragraph (4) ,local_structural,162,4,needs_structural_resolution,rej16
162,33646,33660,paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,34014,34035,subparagraph (B)(ii) ,local_structural,162,B.ii,needs_structural_resolution,rej16
162,34107,34121,paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,34192,34206,paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,34528,34545,subparagraph (A) ,local_structural,162,A,needs_structural_resolution,rej16
162,35123,35139,subparagraph (A),local_structural,162,A,needs_structural_resolution,rej16
162,35156,35169,paragraph (3),local_structural,162,3,needs_structural_resolution,rej16
162,35309,35326,subparagraph (C) ,local_structural,162,C,needs_structural_resolution,rej16
162,35329,35343,paragraph (3) ,local_structural,162,3,needs_structural_resolution,rej16
