source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,manual_note,section_part
274,22723,22737,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,main_text
274,23741,23758,Subparagraph (A) ,local_structural,274,A,needs_structural_resolution,local reference,main_text
274,23915,23928,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,main_text
274,23960,23974,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,main_text
274,24218,24229,section 217,explicit,217,,resolved_section,resolved cross-reference,main_text
274,25023,25037,Paragraph (1) ,local_structural,274,1,needs_structural_resolution,local reference,main_text
274,25105,25118,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,main_text
274,25150,25164,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,main_text
274,25317,25327,section 82,explicit,82,,resolved_section,resolved cross-reference,main_text
274,26217,26229,section 2101,explicit,2101,,resolved_section,resolved cross-reference,main_text
274,26510,26530,section 143(k)(2)(B),explicit,143,k.2.B,resolved_section,resolved cross-reference,main_text
274,26660,26672,Clauses (i) ,local_structural,274,i,needs_structural_resolution,local reference,main_text
274,26684,26701,subparagraph (C) ,local_structural,274,C,needs_structural_resolution,local reference,main_text
274,26823,26837,subsection (m),local_structural,274,m,needs_structural_resolution,local reference,main_text
274,26886,26903,subparagraph (A) ,local_structural,274,A,needs_structural_resolution,local reference,main_text
274,26944,26960,subparagraph (B),local_structural,274,B,needs_structural_resolution,local reference,main_text
274,27134,27151,section 162(a)(2),explicit,162,a.2,resolved_section,trade or business deduction context,main_text
274,27294,27308,paragraph (1) ,local_structural,274,1,needs_structural_resolution,local reference,main_text
274,27464,27482,subsection (e)(8) ,local_structural,274,e.8,needs_structural_resolution,local reference,main_text
274,27611,27628,section 132(e)(2),explicit,132,e.2,resolved_section,fringe benefit context,main_text
274,27685,27702,section 132(e)(1),explicit,132,e.1,resolved_section,fringe benefit context,main_text
274,27777,27791,section 119(a),explicit,119,a,resolved_section,resolved cross-reference,main_text
274,27975,27990,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,main_text
274,27993,28008,subsection (b) ,local_structural,274,b,needs_structural_resolution,local reference,main_text
274,30340,30350,Section 16,explicit,16,,resolved_external_reference,external Securities Exchange Act reference,notes_or_amendments
274,30446,30457,section 78p,explicit,78p,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,30492,30512,Section 212(a)(1)(A),explicit,212,a.1.A,resolved_section,needed for seminar policy,notes_or_amendments
274,30610,30631,section 2702(a)(1)(A),explicit,2702,a.1.A,resolved_section,resolved cross-reference,notes_or_amendments
274,30946,30966,section 132(f)(5)(F),explicit,132,f.5.F,resolved_section,fringe benefit context,notes_or_amendments
274,31259,31277,subsection (e)(8) ,local_structural,274,e.8,needs_structural_resolution,local reference,notes_or_amendments
274,31702,31718,subparagraph (A),local_structural,274,A,needs_structural_resolution,local reference,notes_or_amendments
274,31816,31832,subparagraph (A),local_structural,274,A,needs_structural_resolution,local reference,notes_or_amendments
274,32380,32397,paragraph (1)(B) ,local_structural,274,1.B,needs_structural_resolution,local reference,notes_or_amendments
274,34340,34356,subparagraph (B),local_structural,274,B,needs_structural_resolution,local reference,notes_or_amendments
274,34366,34382,subparagraph (D),local_structural,274,D,needs_structural_resolution,local reference,notes_or_amendments
274,34519,34535,subparagraph (D),local_structural,274,D,needs_structural_resolution,local reference,notes_or_amendments
274,34545,34561,subparagraph (E),local_structural,274,E,needs_structural_resolution,local reference,notes_or_amendments
274,34576,34592,subparagraph (C),local_structural,274,C,needs_structural_resolution,local reference,notes_or_amendments
274,34602,34618,subparagraph (D),local_structural,274,D,needs_structural_resolution,local reference,notes_or_amendments
274,34978,34989,section 132,explicit,132,,resolved_section,fringe benefit context,notes_or_amendments
274,35003,35018,subsection (e) ,local_structural,274,e,needs_structural_resolution,local reference,notes_or_amendments
274,36461,36475,section 267(b),explicit,267,b,resolved_section,resolved cross-reference,notes_or_amendments
274,37249,37266,subsection (a)(3),local_structural,274,a.3,needs_structural_resolution,local reference,notes_or_amendments
274,37769,37785,subparagraph (D),local_structural,274,D,needs_structural_resolution,local reference,notes_or_amendments
274,37805,37821,subparagraph (E),local_structural,274,E,needs_structural_resolution,local reference,notes_or_amendments
274,37831,37847,subparagraph (E),local_structural,274,E,needs_structural_resolution,local reference,notes_or_amendments
274,37857,37873,subparagraph (F),local_structural,274,F,needs_structural_resolution,local reference,notes_or_amendments
274,38352,38368,paragraph (2)(D),local_structural,274,2.D,needs_structural_resolution,local reference,notes_or_amendments
274,39476,39490,Paragraph (1) ,local_structural,274,1,needs_structural_resolution,local reference,notes_or_amendments
274,39524,39539,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,39583,39596,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,notes_or_amendments
274,39628,39642,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,notes_or_amendments
274,39796,39811,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,39839,39852,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,notes_or_amendments
274,39884,39898,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,notes_or_amendments
274,40384,40399,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,40443,40456,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,notes_or_amendments
274,40488,40502,subsection (e),local_structural,274,e,needs_structural_resolution,local reference,notes_or_amendments
274,41973,41986,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,notes_or_amendments
274,41993,42006,paragraph (3),local_structural,274,3,needs_structural_resolution,local reference,notes_or_amendments
274,42193,42207,section 414(q),explicit,414,q,resolved_section,resolved cross-reference,notes_or_amendments
274,42420,42440,section 142(a)(2)(A),explicit,142,a.2.A,resolved_section,resolved cross-reference,notes_or_amendments
274,42748,42759,section 162,explicit,162,,resolved_section,trade or business deduction context,notes_or_amendments
274,42914,42925,section 212,explicit,212,,resolved_section,needed for seminar policy,notes_or_amendments
274,43558,43572,subsection (i),local_structural,274,i,needs_structural_resolution,local reference,notes_or_amendments
274,44519,44531,section 6103,explicit,6103,,resolved_section,resolved cross-reference,notes_or_amendments
274,44989,45000,section 212,explicit,212,,resolved_section,needed for seminar policy,notes_or_amendments
274,45044,45055,section 162,explicit,162,,resolved_section,trade or business deduction context,notes_or_amendments
274,45417,45431,Section 102(a),explicit,102,a,resolved_section,resolved cross-reference,notes_or_amendments
274,48570,48581,clause (ii),local_structural,274,ii,needs_structural_resolution,local reference,notes_or_amendments
274,49271,49287,section 70112(c),explicit,70112,c,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,49370,49386,section 70112(d),explicit,70112,d,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,49431,49442,section 132,explicit,132,,resolved_section,fringe benefit context,notes_or_amendments
274,50089,50102,paragraph (2),local_structural,274,2,needs_structural_resolution,local reference,notes_or_amendments
274,50167,50179,section 7701,explicit,7701,,resolved_section,resolved cross-reference,notes_or_amendments
274,50383,50398,subsection (d) ,local_structural,274,d,needs_structural_resolution,local reference,notes_or_amendments
274,50827,50841,section 221(b),explicit,221,b,resolved_section,resolved cross-reference,notes_or_amendments
274,50887,50896,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,51106,51121,section 403(nn),explicit,403,nn,resolved_section,resolved cross-reference,notes_or_amendments
274,51167,51177,section 26,explicit,26,,resolved_section,resolved cross-reference,notes_or_amendments
274,51611,51626,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,52441,52456,section 7816(a),explicit,7816,a,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,52660,52672,section 7817,explicit,7817,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,52718,52727,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,52790,52808,section 1001(g)(1),explicit,1001,g.1,resolved_section,resolved cross-reference,notes_or_amendments
274,52998,53013,section 1019(a),explicit,1019,a,resolved_section,resolved cross-reference,notes_or_amendments
274,53059,53068,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,53177,53189,Clauses (i) ,local_structural,274,i,needs_structural_resolution,local reference,notes_or_amendments
274,53201,53221,section 274(n)(2)(F),explicit,274,n.2.F,resolved_section,internal section 274 reference,notes_or_amendments
274,53271,53285,subsection (a),local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,53357,53371,Clauses (iii) ,local_structural,274,iii,needs_structural_resolution,local reference,notes_or_amendments
274,53383,53403,section 274(n)(2)(F),explicit,274,n.2.F,resolved_section,internal section 274 reference,notes_or_amendments
274,53453,53467,subsection (a),local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,53581,53595,section 122(c),explicit,122,c,resolved_section,resolved cross-reference,notes_or_amendments
274,53685,53699,section 151(c),explicit,151,c,resolved_section,resolved cross-reference,notes_or_amendments
274,53744,53753,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,53783,53797,section 142(a),explicit,142,a,resolved_section,resolved cross-reference,notes_or_amendments
274,53884,53898,section 151(a),explicit,151,a,resolved_section,resolved cross-reference,notes_or_amendments
274,53943,53952,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,53982,54000,section 1114(b)(6),explicit,1114,b.6,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,54075,54093,section 1114(c)(1),explicit,1114,c.1,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,54138,54149,section 414,explicit,414,,resolved_section,resolved cross-reference,notes_or_amendments
274,54394,54410,subsections (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,54421,54430,section 1,explicit,1,,resolved_section,resolved cross-reference,notes_or_amendments
274,54468,54485,section 179(b)(2),explicit,179,b.2,resolved_section,resolved cross-reference,notes_or_amendments
274,54527,54540,sections 6653,explicit,6653,,resolved_section,plural reference check,notes_or_amendments
274,54624,54638,section 179(b),explicit,179,b,resolved_section,resolved cross-reference,notes_or_amendments
274,54767,54781,section 274(d),explicit,274,d,resolved_section,internal section 274 reference,notes_or_amendments
274,54895,54912,section 179(b)(1),explicit,179,b.1,resolved_section,resolved cross-reference,notes_or_amendments
274,55108,55117,section 2,explicit,2,,resolved_section,resolved cross-reference,notes_or_amendments
274,55254,55271,section 179(b)(1),explicit,179,b.1,resolved_section,resolved cross-reference,notes_or_amendments
274,55354,55371,section 179(d)(2),explicit,179,d.2,resolved_section,resolved cross-reference,notes_or_amendments
274,55432,55444,section 280F,explicit,280F,,resolved_section,vehicle limitation reference,notes_or_amendments
274,55474,55488,section 801(c),explicit,801,c,resolved_section,resolved cross-reference,notes_or_amendments
274,55601,55618,section 805(a)(1),explicit,805,a.1,resolved_section,resolved cross-reference,notes_or_amendments
274,55675,55686,section 245,explicit,245,,resolved_section,resolved cross-reference,notes_or_amendments
274,55840,55855,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,56658,56673,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,57058,57072,section 274(h),explicit,274,h,resolved_section,internal section 274 reference,notes_or_amendments
274,57730,57741,section 201,explicit,201,,resolved_section,resolved cross-reference,notes_or_amendments
274,57786,57796,section 32,explicit,32,,resolved_section,resolved cross-reference,notes_or_amendments
